ref,authors,lon_extract,lat_extract,et0_values,precip_values,standard_aridity_index,inverted_aridity_index,climate_category,temp_values,elev_values
1,"Dimza, I., Gross, A., Skrivele, M, Rubauskis, E.",23.296088800000003,56.61154750000001,774,575,0.7428940568475452,1.346086956521739,Humid,6.754166603088379,48
2,"Feldmane, D., Butac, M., Militaru, M., Kalva, E., Grotuze, S., Missa, I., Sproge, L., Cirsa, E.",23.266670000000005,56.616670000000006,759,581,0.7654808959156785,1.306368330464716,Humid,6.712500095367432,48
3,"Granatstein, D., Wiman, M., Kirby, E., Mullinix, K.",-120.2881,47.42139000000001,1403,239,0.17034925160370634,5.870292887029288,Arid,10.704166412353516,246
4,"Leinfelder, M. M., Merwin, I. A., Brown, M. G.",-76.5,42.44333,1054,894,0.8481973434535104,1.1789709172259508,Humid,9.037500381469727,136
5,"Pole, V., Feldmane, D., Ruisa, S., Butac, M.",23.296088800000003,56.61154750000001,774,575,0.7428940568475452,1.346086956521739,Humid,6.754166603088379,48
6,"Scibisz, K., Sadowski, A.",21.042170000000002,52.157,861,526,0.610917537746806,1.6368821292775666,Dry sub-humid,8.149999618530273,102
7,"Shylla, B., Chauhan, J. S.",77.0999,30.9084,1628,1436,0.8820638820638821,1.1337047353760445,Humid,17.59583282470703,1463
8,"Solomakhin, A. A., Trunov, Y. V., Blanke, M., Noga, G.",40.49083,52.897780000000004,866,572,0.6605080831408776,1.513986013986014,Humid,5.170833110809326,152
9,"Van Schoor, L., Stassen, P. J. C., Botha, A.",19.033330000000003,-34.13333000000001,1558,873,0.5603337612323491,1.7846506300114549,Dry sub-humid,15.554166793823242,327
10,"Varga, P., Majer, J.",17.3274,46.8145,1014,687,0.6775147928994083,1.4759825327510918,Humid,9.387499809265137,391
11,"Zhang, N. W., Zhao, P., Li, H. X., Zhao, M. X., Dong, C. X., Xu, Y. C",104.0333,37.2,1458,195,0.1337448559670782,7.476923076923077,Arid,7.620833396911621,1660
12,"Fentabil, M. M., Nichol, C. F., Jones, M. D., Neilsen, G. H., Neilsen, D., Hannam, K. D.",-119.6367,49.566390000000006,1112,336,0.302158273381295,3.3095238095238093,Semi-Arid,9,379
13,"DeVetter, L. W., Dilley, C. A., Nonnecke, G. R.",-93.58583000000002,42.10806000000001,1164,847,0.7276632302405498,1.3742621015348289,Humid,8.741666793823242,306
14,"Ferrara, G., Fracchiolla, M., Chami, Z., Camposeo, S., Lasorella, C., Pacifico, A., Aly, A., Montemurro, P.",16.293060000000004,41.230560000000004,1459,462,0.31665524331734063,3.158008658008658,Semi-Arid,15.737500190734863,156
15,"Hostetler, G. L., Merwin, I. A., Brown, M. G., Padilla-Zakour, O.",-76.87211,42.576260000000005,1015,849,0.8364532019704434,1.1955241460541814,Humid,8.566666603088379,201
16,"Mathews, C., Bottrell, D., Brown, M",-77.87692000000001,39.35517000000001,1274,1000,0.7849293563579278,1.274,Humid,11.858333587646484,175
17,"Hoagland, L., Carpenter-Boggs, L., Granatstein, D., Mazzola, M., Smith, J., Peryea, F., Reganold, J. P.",-120.2881,47.42139000000001,1403,239,0.17034925160370634,5.870292887029288,Arid,10.704166412353516,246
18,"Neilsen, G. H., Hogue, E. J., Forge, T., Neilsen, D., Kuchta, S.",-119.6367,49.566390000000006,1112,336,0.302158273381295,3.3095238095238093,Semi-Arid,9,379
19,"Walsh, B. D., Salmins, S., Buszard, D. J., MacKenzie, A. F.",-74.93333000000001,45.433330000000005,905,1036,1.1447513812154697,0.8735521235521235,Humid,5.487499713897705,63
20,"Abouziena, H. F., Hafez, O. M., El-Metwally, I. M., Sharma, S. D., Singh, M.",31.866670000000006,30.65,2141,46,0.02148528724894909,46.54347826086956,Hyper Arid,20.8125,12
21,"Atucha, A., Merwin, I. A., Brown, M. G.",-76.81667000000002,42.81667000000001,1057,909,0.8599810785241249,1.1628162816281629,Humid,8.670833587646484,183
22,"Forge, T., Neilsen, G., Neilsen, D., Hogue, E., Faubion, D.",-120.6995,46.731,1378,270,0.19593613933236576,5.103703703703704,Arid,9.5625,445
23,"Granatstein, D., Mullinix, K.",-120.2881,47.42139000000001,1403,239,0.17034925160370634,5.870292887029288,Arid,10.704166412353516,246
24,"Hogue, E. J., Cline, J. A., Neilsen, G., Neilsen, D.",-119.6367,49.566390000000006,1112,336,0.302158273381295,3.3095238095238093,Semi-Arid,9,379
25,"Neilsen, G. H., Hogue, E. J., Forge, T., Neilsen, D.",-119.6367,49.566390000000006,1112,336,0.302158273381295,3.3095238095238093,Semi-Arid,9,379
26,"TerAvest, D., Smith, J. L., Carpenter-Boggs, L., Hoagland, L., Granatstein, D., Reganold, J. P.",-120.2881,47.42139000000001,1403,239,0.17034925160370634,5.870292887029288,Arid,10.704166412353516,246
27,"Yao, S., Merwin, I. A., Brown, M. G.",-76.81667000000002,42.81667000000001,1057,909,0.8599810785241249,1.1628162816281629,Humid,8.670833587646484,183
28,"Belding, R. Majek, B. A.,Lokaj, G. R. W.,Hammerstedt, J.,Ayeni, A. O.",-75.2052,39.518899000000005,1334,1121,0.8403298350824587,1.1900089206066014,Humid,12.262499809265137,36
29,"Lisek, J.,Buler, Z.
",20.06,51.55,855,535,0.6257309941520468,1.5981308411214954,Dry sub-humid,8.154167175292969,161
30,"Lordan, J.,Pascual, M.Villar, J. M.,Fonseca, F.,Papió, J.,Montilla, V.,Rufat, J.
",0.014722220000000003,41.71611000000001,1568,411,0.26211734693877553,3.8150851581508514,Semi-Arid,15.516666412353516,210
31,"Wheaton, A. D.,McKenzie, B. M.,Tisdall, J. M.

",145.1,-35.98333,1744,428,0.24541284403669725,4.074766355140187,Semi-Arid,15.625,99
32,"López, R.,Burgos, P.,Hermoso, J. M.,Hormaza, J. I.,González-Fernández, J. J.",-4.4214720000000005,36.72122,1587,541,0.3408947700063012,2.933456561922366,Semi-Arid,18.02916717529297,17
33,"Ferrara, G.,Mazzeo, A.,Matarrese, A. M. S.,Pacifico, A.,Fracchiolla, M.,Al Chami, Z.,Lasorella, C.,Montemurro, P.,Mondelli, D.
",16.87,41.12,1403,544,0.38774055595153245,2.579044117647059,Semi-Arid,16.100000381469727,14
34,"Chen, Y.,Wen, X.,Sun, Y.,Zhang, J.,Wu, W.,Liao, Y.
",109,35.565,1219,551,0.4520098441345365,2.2123411978221417,Semi-Arid,9.462499618530273,1136
35,"Sajid, M.,Ahmad, S.,Jaskani, M. J.,Yasin, M.
",73.1,31.433330000000005,1920,362,0.18854166666666666,5.303867403314917,Arid,24.212499618530273,186
36,"St. Laurent, A.,Merwin, I. A.,Thies, J. E.
",-76.51,42.49,1028,890,0.8657587548638133,1.155056179775281,Humid,8.949999809265137,142
37,"Oliveira, M. T.,Merwin, I. A.
",-76.510467,42.456296,1042,885,0.84932821497120925,1.1774011299435028,Humid,9.104166984558105,118
38,"Neilsen, G.,Forge, T.Angers, D.,Neilsen, D.,Hogue, E.
",-119.63604000000002,49.566520000000004,1112,336,0.302158273381295,3.3095238095238093,Semi-Arid,9,379
