ID,TopGroup,SubGroup,treatment,Mean_Perc,se,Low_Perc,High_Perc,col,obs,n_study
14,Arid,0-10 cm,short,20.2511773928571,8.83833841092822,11.4128389819289,29.0895158037854,orange,7,2
13,Arid,10-20 cm,short,17.24137931,0,17.24137931,17.24137931,orange,3,1
12,Arid,20-30 cm,short,-10.34482759,0,-10.34482759,-10.34482759,orange,4,1
11,Arid,30+ cm,short,-7.5937604024,3.81064181614345,-11.4044022185434,-3.78311858625656,orange,5,2
9,Arid,0-10 cm,medium,86.32006858,0,86.32006858,86.32006858,orange,3,1
8,Arid,10-20 cm,medium,NA,0,NA,NA,orange,0,0
7,Arid,20-30 cm,medium,39.32366877,0,39.32366877,39.32366877,orange,3,1
6,Arid,30+ cm,medium,52.05026288,0.0156924396618187,52.0345704403382,52.0659553196618,orange,6,2
4,Arid,0-10 cm,long,17.5363625122857,5.78390256102358,11.7524599512621,23.3202650733093,orange,28,4
3,Arid,10-20 cm,long,76.0180582,0,76.0180582,76.0180582,orange,3,1
2,Arid,20-30 cm,long,10.484208912,5.58064634947994,4.90356256252007,16.0648552614799,orange,20,2
1,Arid,30+ cm,long,53.19434372,0,53.19434372,53.19434372,orange,3,1
14,Semi-arid,0-10 cm,short,11.0729984138197,2.27128800729496,8.80171040652472,13.3442864211146,orange,61,17
13,Semi-arid,10-20 cm,short,7.56327816361111,3.3411880900325,4.22209007357861,10.9044662536436,orange,18,5
12,Semi-arid,20-30 cm,short,9.1273721804,3.95291070150093,5.17446147889908,13.0802828819009,orange,30,8
11,Semi-arid,30+ cm,short,8.67341705107693,4.65396164038605,4.01945541069088,13.327378691463,orange,13,4
9,Semi-arid,0-10 cm,medium,8.2703463840625,5.55940291786021,2.7109434662023,13.8297493019227,orange,32,12
8,Semi-arid,10-20 cm,medium,-6.4954226718125,2.01056732244646,-8.50598999425896,-4.48485534936605,orange,16,5
7,Semi-arid,20-30 cm,medium,-5.53458011764286,2.92285288081299,-8.45743299845584,-2.61172723682987,orange,14,6
6,Semi-arid,30+ cm,medium,-12.3457374123636,3.32717460364552,-15.6729120160092,-9.01856280871812,orange,11,4
4,Semi-arid,0-10 cm,long,-38.21434626,0,-38.21434626,-38.21434626,orange,12,1
3,Semi-arid,10-20 cm,long,20.12195122,0,20.12195122,20.12195122,orange,4,1
2,Semi-arid,20-30 cm,long,NA,0,NA,NA,orange,0,0
1,Semi-arid,30+ cm,long,NA,0,NA,NA,orange,0,0
14,Dry sub-humid,0-10 cm,short,-1.67460823681818,7.08273652922933,-8.75734476604752,5.40812829241115,orange,11,3
13,Dry sub-humid,10-20 cm,short,NA,0,NA,NA,orange,0,0
12,Dry sub-humid,20-30 cm,short,13.77820148,9.73339773330362e-08,13.778201382666,13.778201577334,orange,3,1
11,Dry sub-humid,30+ cm,short,1.739496347,0,1.739496347,1.739496347,orange,3,1
9,Dry sub-humid,0-10 cm,medium,5.091224506,0.768038276204607,4.32318622979539,5.85926278220461,orange,16,4
8,Dry sub-humid,10-20 cm,medium,NA,0,NA,NA,orange,0,0
7,Dry sub-humid,20-30 cm,medium,-12.01923077,0,-12.01923077,-12.01923077,orange,6,1
6,Dry sub-humid,30+ cm,medium,-1.550960118,0,-1.550960118,-1.550960118,orange,6,1
4,Dry sub-humid,0-10 cm,long,NA,0,NA,NA,orange,0,0
3,Dry sub-humid,10-20 cm,long,NA,0,NA,NA,orange,0,0
2,Dry sub-humid,20-30 cm,long,NA,0,NA,NA,orange,0,0
1,Dry sub-humid,30+ cm,long,NA,0,NA,NA,orange,0,0
14,Humid,0-10 cm,short,-16.6872564733333,0.581720055909625,-17.268976529243,-16.1055364174237,orange,9,2
13,Humid,10-20 cm,short,-6.295399516,0,-6.295399516,-6.295399516,orange,4,1
12,Humid,20-30 cm,short,-30.2993722,0,-30.2993722,-30.2993722,orange,4,1
11,Humid,30+ cm,short,-32.88031303,0,-32.88031303,-32.88031303,orange,4,1
9,Humid,0-10 cm,medium,NA,0,NA,NA,orange,0,0
8,Humid,10-20 cm,medium,NA,0,NA,NA,orange,0,0
7,Humid,20-30 cm,medium,NA,0,NA,NA,orange,0,0
6,Humid,30+ cm,medium,NA,0,NA,NA,orange,0,0
4,Humid,0-10 cm,long,NA,0,NA,NA,orange,0,0
3,Humid,10-20 cm,long,NA,0,NA,NA,orange,0,0
2,Humid,20-30 cm,long,NA,0,NA,NA,orange,0,0
1,Humid,30+ cm,long,NA,0,NA,NA,orange,0,0
