ID,TopGroup,SubGroup,treatment,Mean_Perc,se,Low_Perc,High_Perc,col,obs,n_study
14,Aridity,Arid,0 - 10 cm,5.90659340625,3.18992502306932,2.71666838318068,9.09651842931932,orange,24,3
13,Aridity,Semi-arid,0 - 10 cm,14.7921802142626,2.97970582222222,11.8124743920404,17.7718860364848,orange,99,26
12,Aridity,Dry sub-humid,0 - 10 cm,4.5733042795,0.76493541369491,3.80836886580509,5.33823969319491,orange,18,4
11,Aridity,Humid,0 - 10 cm,-18.24817518,0,-18.24817518,-18.24817518,orange,5,1
9,Texture,Coarse,0 - 10 cm,1.62815882434375,3.4692526859304,-1.84109386158665,5.09741151027415,#bf63bf,32,9
8,Texture,Medium,0 - 10 cm,16.7970384766563,3.24896156594063,13.5480769107156,20.0460000425969,#bf63bf,32,8
7,Texture,Fine,0 - 10 cm,12.8802098777051,3.45016522982522,9.4300446478799,16.3303751075304,#bf63bf,78,16
5,Irrigation,Drip,0 - 10 cm,5.48239815904762,4.18199578044228,1.30040237860534,9.6643939394899,cadetblue,21,6
4,Irrigation,Sprinkler,0 - 10 cm,19.3832869807463,3.05916647260079,16.3241205081455,22.4424534533471,cadetblue,67,16
3,Irrigation,Flood/Furrow,0 - 10 cm,-0.572327458176471,3.48840202360435,-4.06072948178082,2.91607456542787,cadetblue,51,10
1,,Increment Mean,0 - 10 cm,10.9401553705,2.16742530472639,8.77273006577362,13.1075806752264,black,146,34
14,Aridity,Arid,10 - 20 cm,17.24137931,0,17.24137931,17.24137931,orange,3,1
13,Aridity,Semi-arid,10 - 20 cm,-1.58238799045161,2.05985269634595,-3.64224068679756,0.477464705894336,orange,31,9
12,Aridity,Dry sub-humid,10 - 20 cm,NA,0,NA,NA,orange,0,0
11,Aridity,Humid,10 - 20 cm,-6.295399516,0,-6.295399516,-6.295399516,orange,4,1
9,Texture,Coarse,10 - 20 cm,-0.345111907142857,3.158800397719,-3.50391230486186,2.81368849057614,#bf63bf,7,2
8,Texture,Medium,10 - 20 cm,5.17870627757143,3.85644840836077,1.32225786921066,9.0351546859322,#bf63bf,14,4
7,Texture,Fine,10 - 20 cm,-5.44691719847059,1.78509633855205,-7.23201353702264,-3.66182085991854,#bf63bf,17,5
5,Irrigation,Drip,10 - 20 cm,-5.85301024985714,0.193074504641488,-6.04608475449863,-5.65993574521566,cadetblue,7,2
4,Irrigation,Sprinkler,10 - 20 cm,-3.62286951315385,2.54495050703319,-6.16782002018704,-1.07791900612066,cadetblue,13,4
3,Irrigation,Flood/Furrow,10 - 20 cm,1.78159450563636,3.43008399016051,-1.64848948452415,5.21167849579687,cadetblue,11,3
1,,Increment Mean,10 - 20 cm,-0.592407574684211,1.89622139004928,-2.48862896473349,1.30381381536507,black,38,11
14,Aridity,Arid,20 - 30 cm,-1.97044335047619,0.886438828741222,-2.85688217921741,-1.08400452173497,orange,21,2
13,Aridity,Semi-arid,20 - 30 cm,4.06226520290698,3.07529260089574,0.986972602011235,7.13755780380272,orange,43,13
12,Aridity,Dry sub-humid,20 - 30 cm,-3.42008668666667,4.05367539581679,-7.47376208248345,0.633588709150118,orange,9,2
11,Aridity,Humid,20 - 30 cm,NA,0,NA,NA,orange,0,0
9,Texture,Coarse,20 - 30 cm,-11.5346087948,4.85632810212851,-16.3909368969285,-6.67828069267149,#bf63bf,10,3
8,Texture,Medium,20 - 30 cm,-0.11102054725,4.67942997188329,-4.79045051913329,4.56840942463329,#bf63bf,16,4
7,Texture,Fine,20 - 30 cm,4.67318574231915,2.09977325803103,2.57341248428812,6.77295900035018,#bf63bf,47,10
5,Irrigation,Drip,20 - 30 cm,-14.8110911146667,3.12672479390879,-17.9378159085755,-11.6843663207579,cadetblue,12,3
4,Irrigation,Sprinkler,20 - 30 cm,-1.67405940178788,1.81894878974013,-3.493008191528,0.144889387952247,cadetblue,33,10
3,Irrigation,Flood/Furrow,20 - 30 cm,8.8715290592,3.11067178086511,5.76085727833489,11.9822008400651,cadetblue,25,3
1,,Increment Mean,20 - 30 cm,1.4043467559589,1.93324239148064,-0.528895635521732,3.33758914743954,black,73,17
14,Aridity,Arid,30+ cm,14.75833390225,10.4765907505782,4.28174315167182,25.2349246528282,orange,8,3
13,Aridity,Semi-arid,30+ cm,-1.20705585373913,3.79003262702726,-4.99708848076639,2.58297677328813,orange,23,7
12,Aridity,Dry sub-humid,30+ cm,-0.454141296333333,0.517045351022359,-0.971186647355692,0.0629040546890257,orange,9,2
11,Aridity,Humid,30+ cm,NA,0,NA,NA,orange,0,0
9,Texture,Coarse,30+ cm,-0.33243773125,7.01568073019231,-7.34811846144231,6.68324299894231,#bf63bf,4,2
8,Texture,Medium,30+ cm,7.04551347692308,4.71879230605995,2.32672117086313,11.764305782983,#bf63bf,13,3
7,Texture,Fine,30+ cm,-8.0040141295,2.13859456327378,-10.1426086927738,-5.86541956622622,#bf63bf,20,6
5,Irrigation,Drip,30+ cm,-5.340805914875,2.59417063430096,-7.93497654917596,-2.74663528057404,cadetblue,8,3
4,Irrigation,Sprinkler,30+ cm,3.92548358942857,4.86128056647919,-0.935796977050621,8.78676415590776,cadetblue,21,6
3,Irrigation,Flood/Furrow,30+ cm,-8.465295298,1.22300845644394,-9.68830375444394,-7.24228684155606,cadetblue,8,2
1,,Increment Mean,30+ cm,2.155427872875,3.1856088888041,-1.0301810159291,5.3410367616791,black,40,12
