ID,TopGroup,SubGroup,treatment,Mean_Perc,se,Low_Perc,High_Perc,col,obs,n_study
14,Aridity,Arid,short term,6.00706670042105,4.70282000801014,1.30424669241092,10.7098867084312,orange,19,6
13,Aridity,Semi-arid,short term,9.82104505954098,1.65474323718052,8.16630182236046,11.4757882967215,orange,122,34
12,Aridity,Dry sub-humid,short term,1.654847228,4.79073161833012,-3.13588439033011,6.44557884633012,orange,17,5
11,Aridity,Humid,short term,-20.3850308211429,2.10939367723234,-22.4944244983752,-18.2756371439105,orange,21,5
9,Texture,Coarse,short term,-7.23169051768518,2.75644983423602,-9.98814035192121,-4.47524068344916,#bf63bf,54,15
8,Texture,Medium,short term,11.6768387400735,2.58501553194576,9.09182320812777,14.2618542720193,#bf63bf,68,19
7,Texture,Fine,short term,8.92692585673684,1.65203740698178,7.27488844975506,10.5789632637186,#bf63bf,57,16
5,Irrigation,Drip,short term,-7.63272373973333,2.27635185170475,-9.90907559143809,-5.35637188802858,cadetblue,60,17
4,Irrigation,Sprinkler,short term,5.29082027950746,1.72548811867678,3.56533216083068,7.01630839818425,cadetblue,67,18
3,Irrigation,Flood/Furrow,short term,16.5403104015938,3.29231206737162,13.2479983342221,19.8326224689654,cadetblue,32,9
1,,Duration Mean,short term,5.09691910728492,1.51879270188886,3.57812640539605,6.61571180917378,black,179,50
14,Aridity,Arid,medium term,57.4360657775,5.04224082953517,52.3938249479648,62.4783066070352,orange,12,4
13,Aridity,Semi-arid,medium term,-0.720039885506851,2.76117931127979,-3.48121919678664,2.04113942577294,orange,73,27
12,Aridity,Dry sub-humid,medium term,0.0013730988571426,1.3585252956475,-1.35715219679036,1.35989839450465,orange,28,6
11,Aridity,Humid,medium term,NA,0,NA,NA,orange,0,0
9,Texture,Coarse,medium term,-1.60650475973333,2.80006951605459,-4.40657427578792,1.19356475632125,#bf63bf,15,6
8,Texture,Medium,medium term,-1.69562486221053,1.8375062219373,-3.53313108414783,0.141881359726772,#bf63bf,19,4
7,Texture,Fine,medium term,5.81658373913043,3.55141214677307,2.26517159235736,9.36799588590351,#bf63bf,69,22
5,Irrigation,Drip,medium term,NA,0,NA,NA,cadetblue,0,0
4,Irrigation,Sprinkler,medium term,1.81644202612121,2.35505606686027,-0.538614040739055,4.17149809298148,cadetblue,66,20
3,Irrigation,Flood/Furrow,medium term,11.2196462233044,5.1072229315137,6.11242329179065,16.326869154818,cadetblue,46,16
1,,Duration Mean,medium term,5.6345869420885,2.53063297487965,3.10395396720884,8.16521991696815,black,113,37
14,Aridity,Arid,long term,20.1544358211852,4.27871313828779,15.8757226828974,24.433148959473,orange,54,8
13,Aridity,Semi-arid,long term,-23.63027189,6.31508944755077,-29.9453613375508,-17.3151824424492,orange,16,2
12,Aridity,Dry sub-humid,long term,NA,0,NA,NA,orange,0,0
11,Aridity,Humid,long term,NA,0,NA,NA,orange,0,0
9,Texture,Coarse,long term,71.68044139,3.58712429335692,68.0933170966431,75.2675656833569,#bf63bf,12,4
8,Texture,Medium,long term,NA,0,NA,NA,#bf63bf,0,0
7,Texture,Fine,long term,-2.58465711337931,3.01430425086773,-5.59896136424704,0.429647137488415,#bf63bf,58,6
5,Irrigation,Drip,long term,NA,0,NA,NA,cadetblue,0,0
4,Irrigation,Sprinkler,long term,16.733047565,11.3585886233274,5.37445894167258,28.0916361883274,cadetblue,24,5
3,Irrigation,Flood/Furrow,long term,6.71004440313044,2.31679374991899,4.39325065321144,9.02683815304943,cadetblue,46,5
1,,Duration Mean,long term,10.1465026300571,4.21988025588966,5.92662237416748,14.3663828859468,black,70,10
