ID,TopGroup,SubGroup,depth_increment,per_OC_change,se,per_OC_change_high,per_OC_change_low,col,obs,n_study
1,Aridity,arid,0 - 10 cm,26.98455691,5.147748134,32.13230504,21.83680878,orange,581,131
2,Aridity,arid,10 - 20 cm,45.89847933,10.9189799,56.81745923,34.97949943,orange,38,7
3,Aridity,arid,20 - 30 cm,11.51084004,4.823207625,16.33404767,6.687632415,orange,543,131
4,Aridity,arid,30+ cm,30.91688567,7.257835002,38.17472067,23.65905067,orange,127,35
5,Aridity,semi-arid,0 - 10 cm,4.765696704,2.594211601,7.359908305,2.171485103,orange,15,2
6,Aridity,semi-arid,10 - 20 cm,0.624843857,2.139605459,2.764449316,-1.514761602,orange,63,8
7,Aridity,semi-arid,20 - 30 cm,3.620376983,2.604241439,6.224618422,1.016135544,orange,193,51
8,Aridity,semi-arid,30+ cm,-1.175267589,3.8723851,2.697117511,-5.047652689,orange,47,15
9,Aridity,dry sub-humid,0 - 10 cm,2.104383328,3.046151159,5.150534487,-0.941767831,orange,28,8
10,Aridity,dry sub-humid,10 - 20 cm,,,,,orange,27,4
11,Aridity,dry sub-humid,20 - 30 cm,-4.012820513,4.02080336,0.007982847,-8.033623873,orange,81,23
12,Aridity,dry sub-humid,30+ cm,-1.033973412,0.396147585,-0.637825827,-1.430120997,orange,61,22
13,Aridity,humid,0 - 10 cm,-16.88022116,0.602813326,-16.27740783,-17.48303449,orange,16,2
14,Aridity,humid,10 - 20 cm,-6.295399516,0.122474487,-6.172925029,-6.417874003,orange,51,12
15,Aridity,humid,20 - 30 cm,-30.73286052,0.467707173,-30.26515335,-31.20056769,orange,159,52
16,Aridity,humid,30+ cm,-33.57664234,0.418330013,-33.15831233,-33.99497235,orange,161,40
17,Aridity,hyper arid,0 - 10 cm,-7.975460123,0.690855,-7.284605123,-8.666315123,orange,19,9
18,Aridity,hyper arid,10 - 20 cm,-3.234152652,0.67034397,-2.563808682,-3.904496622,orange,108,31
19,Aridity,hyper arid,20 - 30 cm,,,,,orange,263,56
20,Aridity,hyper arid,30+ cm,-5.520169851,0.26934445,-5.250825401,-5.789514301,orange,138,30
21,Irrigation,drippers,0 - 10 cm,2.287965462,3.934900505,6.222865967,-1.646935043,cyan,164,32
22,Irrigation,drippers,10 - 20 cm,-5.85301025,0.271968593,-5.581041657,-6.124978843,cyan,362,81
23,Irrigation,drippers,20 - 30 cm,-19.55264751,2.873439487,-16.67920802,-22.426087,cyan,18,5
24,Irrigation,drippers,30+ cm,-15.48880425,4.109339131,-11.37946512,-19.59814338,cyan,37,14
25,Irrigation,sprinkler,0 - 10 cm,5.158306878,3.218339556,8.376646434,1.939967322,cyan,581,131
26,Irrigation,sprinkler,10 - 20 cm,11.58917117,8.184955403,19.77412657,3.404215767,cyan,38,7
27,Irrigation,sprinkler,20 - 30 cm,5.801683816,3.646593282,9.448277098,2.155090534,cyan,543,131
28,Irrigation,sprinkler,30+ cm,10.20377162,5.454587274,15.65835889,4.749184346,cyan,127,35
29,Irrigation,floodfurr,0 - 10 cm,12.17330116,3.736515195,15.90981636,8.436785965,cyan,15,2
30,Irrigation,floodfurr,10 - 20 cm,6.996513585,3.497136223,10.49364981,3.499377362,cyan,63,8
31,Irrigation,floodfurr,20 - 30 cm,10.68141471,2.564018069,13.24543278,8.117396641,cyan,193,51
32,Irrigation,floodfurr,30+ cm,6.198008916,7.507111379,13.7051203,-1.309102463,cyan,47,15
33,Texture,coarse,0 - 10 cm,7.562025508,4.447800067,12.00982558,3.114225441,brown,28,8
34,Texture,coarse,10 - 20 cm,23.30031455,11.37548166,34.67579621,11.92483289,brown,27,4
35,Texture,coarse,20 - 30 cm,11.48456715,11.58637086,23.07093801,-0.10180371,brown,81,23
36,Texture,coarse,30+ cm,3.059780514,11.04825292,14.10803343,-7.988472406,brown,61,22
37,Texture,medium,0 - 10 cm,11.44650446,2.237714661,13.68421912,9.208789799,brown,16,2
38,Texture,medium,10 - 20 cm,-2.012931186,5.846982561,3.834051375,-7.859913747,brown,51,12
39,Texture,medium,20 - 30 cm,-9.480830195,1.043265091,-8.437565104,-10.52409529,brown,159,52
40,Texture,medium,30+ cm,1.9694268,4.249853004,6.219279804,-2.280426204,brown,161,40
41,Texture,fine,0 - 10 cm,4.946201674,3.120567878,8.066769552,1.825633796,brown,19,9
42,Texture,fine,10 - 20 cm,1.533906827,2.735748661,4.269655488,-1.201841834,brown,108,31
43,Texture,fine,20 - 30 cm,6.099815613,1.7764082,7.876223813,4.323407413,brown,263,56
44,Texture,fine,30+ cm,-1.761085869,4.357700842,2.596614973,-6.118786711,brown,138,30
