ID,TopGroup,SubGroup,depth_increment,Mean_Perc,se,Low_Perc,High_Perc,col,obs,n_study
59,Aridity,Arid,0 - 10 cm,23.59327567,5.387470455,13.03383357,34.15271776,orange,39,8
58,Aridity,Semi-Arid,0 - 10 cm,4.586017452,2.636362594,-0.581253232,9.753288135,orange,105,30
57,Aridity,Dry Sub-Humid,0 - 10 cm,2.334774129,3.050523037,-3.644251024,8.313799282,orange,27,7
56,Aridity,Humid,0 - 10 cm,-16.68725647,0.672080028,-18.00453333,-15.36997962,orange,9,2
60,Aridity,Hyper Arid,0 - 10 cm,-7.221160616,0.725095477,-8.642347751,-5.799973481,orange,1,1
50,Irrigation,Drippers,0 - 10 cm,2.247437159,3.895214065,-5.387182407,9.882056726,cadetblue,25,7
49,Irrigation,Sprinkler,0 - 10 cm,3.68577776,3.128425689,-2.445936591,9.817492111,cadetblue,81,20
48,Irrigation,Flood/Furrow,0 - 10 cm,11.04658271,3.770456418,3.656488129,18.43667729,cadetblue,65,16
54,Texture,Coarse,0 - 10 cm,5.117335267,4.449038496,-3.602780185,13.83745072,#bf63bf,43,13
53,Texture,Medium,0 - 10 cm,13.70540539,2.959751547,7.904292357,19.50651842,#bf63bf,31,9
52,Texture,Fine,0 - 10 cm,4.010988518,3.109175761,-2.082995974,10.10497301,#bf63bf,86,20
46,,Increment Mean,0 - 10 cm,7.222663,1.693271636,3.903850593,10.54147541,black,181,48
44,Aridity,Arid,10 - 20 cm,45.50204104,11.16617814,23.61633188,67.3877502,orange,7,3
43,Aridity,Semi-Arid,10 - 20 cm,0.898107919,2.200962103,-3.415777803,5.211993642,orange,41,12
42,Aridity,Dry Sub-Humid,10 - 20 cm,,,,,orange,,
41,Aridity,Humid,10 - 20 cm,-6.295399516,0.122474487,-6.535449511,-6.055349521,orange,4,1
45,Aridity,Hyper Arid,10 - 20 cm,-25.25672481,1.141416113,-27.49390039,-23.01954923,orange,1,1
35,Irrigation,Drippers,10 - 20 cm,-5.85301025,0.271968593,-6.386068692,-5.319951808,cadetblue,7,2
34,Irrigation,Sprinkler,10 - 20 cm,11.30980443,8.307316456,-4.972535821,27.59214469,cadetblue,16,5
33,Irrigation,Flood/Furrow,10 - 20 cm,6.672356296,3.393333722,0.0214222,13.32329039,cadetblue,21,6
39,Texture,Coarse,10 - 20 cm,22.56383913,11.89715817,-0.754590879,45.88226913,#bf63bf,10,3
38,Texture,Medium,10 - 20 cm,-1.980830815,5.098600578,-11.97408795,8.012426317,#bf63bf,12,4
37,Texture,Fine,10 - 20 cm,0.574305025,2.762553318,-4.840299479,5.988909529,#bf63bf,28,9
31,,Increment Mean,10 - 20 cm,6.372548,3.32289786,-0.140331805,12.88542781,black,47,15
29,Aridity,Arid,20 - 30 cm,10.60281016,4.877971765,1.041985497,20.16363481,orange,27,4
28,Aridity,Semi-Arid,20 - 30 cm,4.46220554,3.069165461,-1.553358763,10.47776984,orange,44,14
27,Aridity,Dry Sub-Humid,20 - 30 cm,-3.420086687,4.315962013,-11.87937223,5.039198859,orange,9,2
26,Aridity,Humid,20 - 30 cm,-30.2993722,0.467707173,-31.21607826,-29.38266614,orange,4,1
30,Aridity,Hyper Arid,20 - 30 cm,,,,,orange,,
20,Irrigation,Drippers,20 - 30 cm,-18.68316139,2.983569228,-24.53095707,-12.8353657,cadetblue,16,4
19,Irrigation,Sprinkler,20 - 30 cm,4.290006055,3.750150396,-3.060288721,11.64030083,cadetblue,36,11
18,Irrigation,Flood/Furrow,20 - 30 cm,12.46271975,3.261960398,6.069277372,18.85616213,cadetblue,29,5
24,Texture,Coarse,20 - 30 cm,8.958884199,11.49774185,-13.57668983,31.49445823,#bf63bf,12,4
23,Texture,Medium,20 - 30 cm,-8.883266854,1.344597215,-11.5186774,-6.247856311,#bf63bf,13,3
22,Texture,Fine,20 - 30 cm,6.752214724,2.318076787,2.208784221,11.29564523,#bf63bf,50,11
16,,Increment Mean,20 - 30 cm,3.936127,2.44542169,-0.856899512,8.729153512,black,84,21
14,Aridity,Arid,30+ cm,33.52849643,7.958467809,17.92989952,49.12709333,orange,15,6
13,Aridity,Semi-Arid,30+ cm,-0.960362078,3.719981556,-8.251525928,6.330801772,orange,24,8
12,Aridity,Dry Sub-Humid,30+ cm,-0.454141296,0.625193552,-1.679520659,0.771238066,orange,9,2
11,Aridity,Humid,30+ cm,-32.88031303,0.418330013,-33.70023986,-32.0603862,orange,4,1
15,Aridity,Hyper Arid,30+ cm,-5.663465853,1.063145486,-7.747231006,-3.5797007,orange,1,1
5,Irrigation,Drippers,30+ cm,-14.52064162,4.315743469,-22.97949882,-6.061784421,cadetblue,12,4
4,Irrigation,Sprinkler,30+ cm,10.08409111,5.517601023,-0.7304069,20.89858911,cadetblue,24,7
3,Irrigation,Flood/Furrow,30+ cm,7.771444703,7.837764353,-7.590573429,23.13346283,cadetblue,12,5
9,Texture,Coarse,30+ cm,2.430184374,11.09484963,-19.31572091,24.17608966,#bf63bf,11,4
8,Texture,Medium,30+ cm,4.215685994,6.49039842,-8.50549491,16.9368669,#bf63bf,11,3
7,Texture,Fine,30+ cm,-0.39490185,4.521363799,-9.256774896,8.466971196,#bf63bf,24,8
1,,Increment Mean,30+ cm,6.388807,3.774974611,-1.010143238,13.78775724,black,53,18
