ID,TopGroup,SubGroup,treatment,Mean_Perc,se,Low_Perc,High_Perc,col,obs,n_study
23,Aridity,Arid,0 - 10 cm,292.447313682621,51.6415231679655,240.805790514656,344.088836850587,orange,66,17
22,Aridity,Semi-arid,0 - 10 cm,79.2639086920769,49.7615106890769,29.5023980030001,129.025419381154,orange,39,12
21,Aridity,Dry sub-humid,0 - 10 cm,NA,0,NA,NA,orange,0,0
20,Aridity,Humid,0 - 10 cm,NA,0,NA,NA,orange,0,0
19,,Increment Mean,0 - 10 cm,215.087685273254,34.4492871558045,180.63839811745,249.536972429059,black,118,31
17,Aridity,Arid,10 - 20 cm,223.401752021364,16.7814946923276,206.620257329036,240.183246713691,orange,22,3
16,Aridity,Semi-arid,10 - 20 cm,183.990575684281,77.9820207500361,106.008554934245,261.972596434317,orange,32,13
15,Aridity,Dry sub-humid,10 - 20 cm,NA,0,NA,NA,orange,0,0
14,Aridity,Humid,10 - 20 cm,NA,0,NA,NA,orange,0,0
13,,Increment Mean,10 - 20 cm,198.711649661218,45.9571957936336,152.754453867585,244.668845454852,black,55,17
11,Aridity,Arid,20 - 30 cm,246.658633102903,63.9260757788575,182.732557324046,310.584708881761,orange,31,5
10,Aridity,Semi-arid,20 - 30 cm,6.6482383631875,9.46463991401541,-2.81640155082791,16.1128782772029,orange,16,5
9,Aridity,Dry sub-humid,20 - 30 cm,NA,0,NA,NA,orange,0,0
8,Aridity,Humid,20 - 30 cm,NA,0,NA,NA,orange,0,0
7,,Increment Mean,20 - 30 cm,176.413107308492,36.3058842572995,140.107223051192,212.718991565791,black,59,11
5,Aridity,Arid,30+ cm,29.011616304375,37.439988675088,-8.42837237071297,66.451604979463,orange,16,5
4,Aridity,Semi-arid,30+ cm,134.156571743,66.0545509142416,68.1020208287585,200.211122657242,orange,34,12
3,Aridity,Dry sub-humid,30+ cm,NA,0,NA,NA,orange,0,0
2,Aridity,Humid,30+ cm,NA,0,NA,NA,orange,0,0
1,,Increment Mean,30+ cm,91.0092358451111,37.3776789428889,53.6315569022222,128.386914788,black,63,19
