ID,TopGroup,SubGroup,treatment,Mean_Perc,se,Low_Perc,High_Perc,col,obs,n_study
23,Aridity,Arid,0 - 10 cm,37.0883974375,5.33798040607266,31.7504170314273,42.4263778435727,orange,16,2
22,Aridity,Semi-arid,0 - 10 cm,45.8707004649063,12.8277434639915,33.0429570009148,58.6984439288978,orange,32,10
21,Aridity,Dry sub-humid,0 - 10 cm,-5.477920626,0,-5.477920626,-5.477920626,orange,10,1
20,Aridity,Humid,0 - 10 cm,33.76941946,0,33.76941946,33.76941946,orange,4,1
19,,Increment Mean,0 - 10 cm,34.5415362170484,7.14105751407869,27.4004787029697,41.6825937311271,black,62,14
17,Aridity,Arid,10 - 20 cm,NA,0,NA,NA,orange,0,0
16,Aridity,Semi-arid,10 - 20 cm,-1.1862552984375,3.75724137141921,-4.94349666985671,2.57098607298171,orange,16,5
15,Aridity,Dry sub-humid,10 - 20 cm,-4.91263521034746,0.165011939389898,-5.07764714973736,-4.74762327095756,orange,118,5
14,Aridity,Humid,10 - 20 cm,6.34261200777778,6.66193325279451,-0.319321245016732,13.0045452605723,orange,9,2
13,,Increment Mean,10 - 20 cm,-3.78732539528671,0.654851629618712,-4.44217702490543,-3.132473765668,black,143,12
11,Aridity,Arid,20 - 30 cm,18.55131195,6.88255154120476e-08,18.5513118811745,18.5513120188255,orange,12,1
10,Aridity,Semi-arid,20 - 30 cm,-11.77721819,0,-11.77721819,-11.77721819,orange,3,1
9,Aridity,Dry sub-humid,20 - 30 cm,-4.948646125,0,-4.948646125,-4.948646125,orange,10,1
8,Aridity,Humid,20 - 30 cm,NA,0,NA,NA,orange,0,0
7,,Increment Mean,20 - 30 cm,5.5119051032,2.53969643657406,2.97220866662594,8.05160153977407,black,25,3
5,Aridity,Arid,30+ cm,NA,0,NA,NA,orange,0,0
4,Aridity,Semi-arid,30+ cm,-25.76768928,0,-25.76768928,-25.76768928,orange,3,1
3,Aridity,Dry sub-humid,30+ cm,-4.966442953,0,-4.966442953,-4.966442953,orange,10,1
2,Aridity,Humid,30+ cm,13.67205943,7.53945746461959e-08,13.6720593546054,13.6720595053946,orange,5,1
1,,Increment Mean,30+ cm,-3.25595556777778,3.03395424758436,-6.28990981536214,-0.222001320193418,black,18,3
