ID,TopGroup,SubGroup,treatment,Mean_Perc,se,Low_Perc,High_Perc,col,obs,n_study
14,Drip,0-10 cm,short,5.48239815904762,4.18199578044228,1.30040237860534,9.6643939394899,cadetblue,21,6
13,Drip,10-20 cm,short,-5.85301024985714,0.193074504641488,-6.04608475449863,-5.65993574521566,cadetblue,7,2
12,Drip,20-30 cm,short,-14.8110911146667,3.12672479390879,-17.9378159085755,-11.6843663207579,cadetblue,12,3
11,Drip,30+ cm,short,-5.340805914875,2.59417063430096,-7.93497654917596,-2.74663528057404,cadetblue,8,3
9,Drip,0-10 cm,medium,NA,0,NA,NA,cadetblue,0,0
8,Drip,10-20 cm,medium,NA,0,NA,NA,cadetblue,0,0
7,Drip,20-30 cm,medium,NA,0,NA,NA,cadetblue,0,0
6,Drip,30+ cm,medium,NA,0,NA,NA,cadetblue,0,0
4,Drip,0-10 cm,long,NA,0,NA,NA,cadetblue,0,0
3,Drip,10-20 cm,long,NA,0,NA,NA,cadetblue,0,0
2,Drip,20-30 cm,long,NA,0,NA,NA,cadetblue,0,0
1,Drip,30+ cm,long,NA,0,NA,NA,cadetblue,0,0
14,Sprinkler,0-10 cm,short,7.07793333935484,2.50159272639803,4.57634061295681,9.57952606575287,cadetblue,31,8
13,Sprinkler,10-20 cm,short,4.940572142,0,4.940572142,4.940572142,cadetblue,5,1
12,Sprinkler,20-30 cm,short,8.28679900342857,1.090800941294,7.19599806213458,9.37759994472257,cadetblue,14,4
11,Sprinkler,30+ cm,short,4.754034466,1.2306800336199,3.5233544323801,5.9847144996199,cadetblue,6,2
9,Sprinkler,0-10 cm,medium,12.87639732625,3.2805425542109,9.5958547720391,16.1569398804609,cadetblue,24,7
8,Sprinkler,10-20 cm,medium,-8.975020547625,2.79158283001259,-11.7666033776376,-6.18343771761241,cadetblue,8,3
7,Sprinkler,20-30 cm,medium,-9.01363927931579,1.62838981265088,-10.6420290919667,-7.38524946666491,cadetblue,19,6
6,Sprinkler,30+ cm,medium,3.5940632388,6.78607799854001,-3.19201475974001,10.38014123734,cadetblue,15,4
4,Sprinkler,0-10 cm,long,64.18589653,0,64.18589653,64.18589653,cadetblue,12,1
3,Sprinkler,10-20 cm,long,NA,0,NA,NA,cadetblue,0,0
2,Sprinkler,20-30 cm,long,NA,0,NA,NA,cadetblue,0,0
1,Sprinkler,30+ cm,long,NA,0,NA,NA,cadetblue,0,0
14,Flood/Furrow,0-10 cm,short,13.8954083260714,5.50612450823965,8.38928381783178,19.4015328343111,cadetblue,14,4
13,Flood/Furrow,10-20 cm,short,17.24137931,0,17.24137931,17.24137931,cadetblue,3,1
12,Flood/Furrow,20-30 cm,short,27.72352831,5.40040920141108,22.3231191085889,33.1239375114111,cadetblue,8,2
11,Flood/Furrow,30+ cm,short,-5.006105006,0,-5.006105006,-5.006105006,cadetblue,4,1
9,Flood/Furrow,0-10 cm,medium,-11.1862208466,7.16242718340167,-18.3486480300017,-4.02379366319833,cadetblue,20,5
8,Flood/Furrow,10-20 cm,medium,-4.015824796,2.61524142845426,-6.63106622445426,-1.40058336754574,cadetblue,8,2
7,Flood/Furrow,20-30 cm,medium,NA,0,NA,NA,cadetblue,0,0
6,Flood/Furrow,30+ cm,medium,-11.92448559,0,-11.92448559,-11.92448559,cadetblue,4,1
4,Flood/Furrow,0-10 cm,long,0,0,0,0,cadetblue,17,1
3,Flood/Furrow,10-20 cm,long,NA,0,NA,NA,cadetblue,0,0
2,Flood/Furrow,20-30 cm,long,0,0,0,0,cadetblue,17,1
1,Flood/Furrow,30+ cm,long,NA,0,NA,NA,cadetblue,0,0
