ref_num,authors,year,country,site_name,geo_area,N_pair,N_pair_state,latitude,longitude,elevation,elev_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,crop type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrig_t1,years_since_irrig_t2,study_duration,irrig_method,irrig_methodcat,irrig_water_type,irrig_water_pH,irrig_water_bicarbonate,irrig_water_Ca,irrig_water_OC,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_cat_2,BD_t1,BD_t2,BD_t1_rf,BD_t2_rf,soil_texture_t1,per_sand_t1,per_clay_t1,soil_texture_t2,per_sand_t2,per_clay_t2,soil_pH_t1,soil_pH_t2,total_C_n_t1,total_C_n_t2,total_C_t1,total_C_t2,total_C_sd_t1,total_C_sd_t2,total_C_st_t1,total_C_st_t2,total_C_st_sd_t1,total_C_st_sd_t2,total_C_st_t1_calc,total_C_st_t2_calc,log_total_C_rr,organic_C_n_t1,organic_C_n_t2,organic_C_t1,organic_C_t2,log_organic_C_rr,per_OC_change,OC_change_rate,organic_C_sd_t1,organic_C_sd_t2,organic_C_t1_cov,organic_C_t2_cov,organic_C_t1_sd_calc,organic_C_t2_sd_calc,organic_C_st_t1,organic_C_st_t2,organic_C_st_sd_t1,organic_C_st_sd_t2,organic_C_st_t1_cov,organic_C_st_t2_cov,organic_C_st_t1_calc,organic_C_st_t2_calc,organic_C_st_sd_t1_calc,organic_C_st_sd_t2_calc,log_organic_C_st_rr,OC_st_change_rate,inorganic_C_n_t1,inorganic_C_n_t2,inorganic_C_t1,inorganic_C_t2,inorganic_C_sd_t1,inorganic_C_sd_t2,inorganic_C_sd_t1_cov,inorganic_C_sd_t2_cov,inorganic_C_sd_t1_calc,inorganic_C_sd_t2_calc,inorganic_C_st_t1,inorganic_C_st_t2,inorganic_C_st_sd_t1,inorganic_C_st_sd_t2,inorganic_C_st_t1_calc,inorganic_C_st_t2_calc,inorganic_C_st_t1_cov,inorganic_C_st_t2_cov,inorganic_C_st_t1_sd_cov,inorganic_C_st_t2_sd_cov,log_inorg_C_rr,total_N_n_t1,total_N_n_t2,total_N_t1,total_N_t2,total_N_sd_t1,total_N_sd_t2,total_N_t1_cov,total_N_t2_cov,total_N_t1_sd_calc,total_N_t2_sd_calc,total_N_st_t1,total_N_st_t2,total_N_st_sd_t1,total_N_st_sd_t2,total_N_st_t1_calc,total_N_st_t2_calc,log_total_N_rr,total_N_st_t1_cov,total_N_st_t2_cov,total_N_st_t1_sd_calc,total_N_st_t2_sd_calc
1a,Wu et al.,2008,USA,San Joaquin Valley,North America,no,,35° 36' N,119° 20' W,,102,132,182,18,17.2,semiarid,0.0875,Arid,11.5439,mixed,cereals,yes,2,multiple,CT,,no,,,,,,25,55,30,,,fresh,7.2,73.2,,,,Farm,0,10,10,0-10cm,0-10cm,1.16,1.06,1.191423851,1.170540667,L,,20,L,,20,8.1,8.1,1,1,7.14,8.92,,,,,,,8.506766296,10.44122275,0.096666643,1,1,6.22,8.74,0.147721048,40.51446945,0.084,,,,,0.812490083,1.102386878,,,,,,,7.410656353,10.23052543,0.696933779,0.571247613,0.140041265,0.093995636,1,1,0.92,0.18,,,,,0.544489796,0.064280924,,,,,1.096109943,0.21069732,,,,,-0.708515322,,,,,,,,,,,,,,,,,#DIV/0!,,,,
1a,Wu et al.,2008,USA,San Joaquin Valley,North America,no,,35° 36' N,119° 20' W,,102,132,182,18,17.2,semiarid,0.0875,Arid,11.5439,mixed,cereals,yes,2,multiple,CT,,no,,,,,,25,55,30,,,fresh,7.2,73.2,,,,Farm,10,25,15,10-20cm,10-20cm,1.24,1.19,1.24386523,1.243603833,L,,20,L,,20,8.1,8.1,1,1,6.43,8.17,,,,,,,11.99708014,15.24036497,0.104011084,1,1,5.52,7.98,0.160063814,44.56521739,0.082,,,,,0.721052292,1.006527149,,,,,,,10.2992041,14.88593788,0.968586707,0.831194501,0.159972538,0.152891126,1,1,0.91,0.19,,,,,0.538571429,0.067852086,,,,,1.697876039,0.354427092,,,,,-0.680287791,,,,,,,,,,,,,,,,,#DIV/0!,,,,
1a,Wu et al.,2008,USA,San Joaquin Valley,North America,no,,35° 36' N,119° 20' W,,102,132,182,18,17.2,semiarid,0.0875,Arid,11.5439,mixed,cereals,yes,2,multiple,CT,,no,,,,,,25,55,30,,,fresh,7.2,73.2,,,,Farm,25,60,35,40-50cm,30+cm,1.242,1.454666667,1.272830249,1.400530533,L,,17.5,L,,17.5,9.2,9.2,1,1,4.628,3.726666667,,,,,,,22.10566059,19.15787331,-0.094072801,1,1,1.673333333,2.414666667,0.159274725,44.30278889,0.024711111,,,,,0.218579862,0.304564856,,,,,,,7.904724514,12.18087542,0.743398326,0.680150404,0.187791762,0.142538363,1,1,2.954666667,1.316666667,,,,,1.748680272,0.470203055,,,,,14.20093607,6.999407486,,,,,-0.351032652,,,,,,,,,,,,,,,,,#DIV/0!,,,,
1b,Wu et al.,2008,USA,Imperial Valley,North America,no,,32° 49' N,115° 23' W,,-7,65,71,22,22.4,semiarid,0.0263,Hyper Arid,37.4789,mixed,cereals,yes,annually,once,CT,,no,,,,,,85,90,5,,,fresh,7.9,190,,,,Farm,0,10,10,0-10cm,0-10cm,1.22,1.23,1.288673851,1.222177833,SiC,,38,SiC,,38,8.3,8.3,1,1,22.8,21.4,,,,,,,29.3817638,26.15460563,-0.027521074,1,1,8.15,7.5,-0.036096345,-7.975460123,-0.13,,,,,1.064597134,0.945984163,,,,,,,10.50269189,9.166333748,0.987723677,0.511825742,-0.059104959,-0.267271628,1,1,14.6,13.9,,,,,8.640816327,4.963915797,,,,,18.81463822,16.98827188,,,,,-0.021338056,,,,,,,,,,,,,,,,,#DIV/0!,,,,
1b,Wu et al.,2008,USA,Imperial Valley,North America,no,,32° 49' N,115° 23' W,,-7,65,71,22,22.4,semiarid,0.0263,Hyper Arid,37.4789,mixed,cereals,yes,annually,once,CT,,no,,,,,,85,90,5,,,fresh,7.9,190,,,,Farm,10,25,15,10-20cm,10-20cm,1.45,1.12,1.355811207,1.206851167,SiC,,38,SiC,,38,8.3,8.3,1,1,22.2,21.4,,,,,,,45.14851319,38.73992246,-0.015939201,1,1,7.73,7.48,-0.014277896,-3.234152652,-0.05,,,,,1.00973446,0.943461538,,,,,,,15.72063095,13.54087009,1.478443771,0.756089193,-0.064823401,-0.435952172,1,1,14.4,13.9,,,,,8.52244898,4.963915797,,,,,29.28552207,25.16284683,,,,,-0.015347692,,,,,,,,,,,,,,,,,#DIV/0!,,,,
1b,Wu et al.,2008,USA,Imperial Valley,North America,no,,32° 49' N,115° 23' W,,-7,65,71,22,22.4,semiarid,0.0263,Hyper Arid,37.4789,mixed,cereals,yes,annually,once,CT,,no,,,,,,85,90,5,,,fresh,7.9,190,,,,Farm,25,60,35,40-50cm,30+cm,1.318666667,1.316666667,1.322418295,1.309773456,SiC,,30,SiC,,30,8.3,8.3,1,1,18.02,19.65333333,,,,,,,89.36355316,96.75361971,0.037681433,1,1,3.14,2.966666667,-0.024660896,-5.520169841,-0.034666667,,,,,0.410163804,0.374189291,,,,,,,15.40344402,14.24450865,1.448613987,0.795378655,-0.033970361,-0.231787075,1,1,14.9,16.62666667,,,,,8.818367347,5.937652757,,,,,74.05951789,82.21295563,,,,,0.047618922,,,,,,,,,,,,,,,,,#DIV/0!,,,,
2a,Sainju et al. ,2014,USA,"Nesson Valley, North Dakota, NTBO",North America,yes,N-,48° 6' N,103° 6' W,,573,373,364,13.5,5.4,semiarid,0.2945,Semi-Arid,3.3929,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,3,6,3,sprinklers,sprinkler,,,,,,,Plot,0,10,10,0-10cm,0-10cm,,,1.450007759,1.376103667,SL,72,16,SL,72,16,7.7,7.7,,,,,,,,,,,,,,3,3,,,,,,,,,,,,12.7,12.1,,,,,12.7,12.1,1.194369104,0.675634518,-0.021018351,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
2b,Sainju et al. ,2014,USA,"Nesson Valley, North Dakota, NTBN",North America,yes,N+,48° 6' N,103° 6' W,,573,373,364,13.5,5.4,semiarid,0.2945,Semi-Arid,3.3929,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,3,6,3,sprinklers,sprinkler,,,,,,,Plot,0,10,10,0-10cm,0-10cm,,,1.450304885,1.379034833,SL,72,16,SL,72,16,7.7,7.7,,,,,,,,,,,,,,3,3,,,,,,,,,,,,13.4,12.8,,,,,13.4,12.8,1.260200472,0.714720812,-0.019894829,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
3,Bedbais et al.,2017,Tunisia,El Hajeb,Africa,no,,34° 43' N,10° 41' E,,20,250,228,23,19.2,semiarid,0.1227,Arid,8.1053,woody perennials,woody crops,no,no,never,na,,,,no,,no,,5,10,5,drippers,drippers,fresh,7.95,288.5,184.5,,,Plot,0,80,80,30-40cm,30+cm,,,1.427193391,1.366299667,SL,68,7,SL,68,7,7.8,7.7,,,,,,,,,,,,,,1,1,0.47,0.37,-0.103896134,-21.27659574,-0.02,,,,,0.061393945,0.046668552,,,,,,,5.36624715,4.044247014,0.504667701,0.225820899,-0.122832997,-0.264400027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
4,Benjamin et al.,2010,USA,Akron,North America,no,,40° 8' N,103° 9' W,1384,1388,400,396,,9.5,semiarid,0.2262,Semi-Arid,4.4091,cereals,cereals,yes,0,never,NT,no,no,no,,,,,4,10,6,sprinklers,sprinkler,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.52,1.31,1.449305172,1.3256635,SL,,,SL,,,,,,,,,,,,,,,,,,3,3,19.6,24.6,0.098679036,25.51020408,0.833333333,,,,,2.560258138,3.102828054,,,,,,,42.60957206,48.91698315,4.007209165,2.731405151,0.059952493,1.051235182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
