ref_num,authors,year,country,site_name,geo_area,N_pair,N_pair_state,latitude,longitude,elevation,elev_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,crop type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrig_t1,years_since_irrig_t2,study_duration,irrig_method,irrig_methodcat,irrig_water_type,irrig_water_pH,irrig_water_bicarbonate,irrig_water_Ca,irrig_water_OC,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_cat_2,BD_t1,BD_t2,BD_t1_rf,BD_t2_rf,soil_texture_t1,per_sand_t1,per_clay_t1,soil_texture_t2,per_sand_t2,per_clay_t2,soil_pH_t1,soil_pH_t2,total_C_n_t1,total_C_n_t2,total_C_t1,total_C_t2,total_C_sd_t1,total_C_sd_t2,total_C_st_t1,total_C_st_t2,total_C_st_sd_t1,total_C_st_sd_t2,total_C_st_t1_calc,total_C_st_t2_calc,log_total_C_rr,organic_C_n_t1,organic_C_n_t2,organic_C_t1,OC_t1_calc,organic_C_t2,OC_t2_calc,log_organic_C_rr,OC_change_rate,per_OC_change,organic_C_sd_t1,organic_C_sd_t2,organic_C_t1_cov,organic_C_t2_cov,organic_C_t1_sd_calc,organic_C_t2_sd_calc,organic_C_st_t1,organic_C_st_t2,organic_C_st_t1_calc,organic_C_st_t2_calc,organic_C_st_sd_t1,organic_C_st_sd_t2,organic_C_st_t1_cov,organic_C_st_t2_cov,organic_C_st_sd_t1_calc,organic_C_st_sd_t2_calc,log_organic_C_st_rr,OC_st_change_rate,per_OC_st_change,inorganic_C_n_t1,inorganic_C_n_t2,inorganic_C_t1,inorganic_C_t2,inorganic_C_sd_t1,inorganic_C_sd_t2,inorganic_C_sd_t1_cov,inorganic_C_sd_t2_cov,inorganic_C_sd_t1_calc,inorganic_C_sd_t2_calc,inorganic_C_st_t1,inorganic_C_st_t2,inorganic_C_st_sd_t1,inorganic_C_st_sd_t2,inorganic_C_st_t1_calc,inorganic_C_st_t2_calc,inorganic_C_st_t1_cov,inorganic_C_st_t2_cov,inorganic_C_st_t1_sd_cov,inorganic_C_st_t2_sd_cov,log_inorg_C_rr,total_N_n_t1,total_N_n_t2,total_N_t1,total_N_t2,total_N_sd_t1,total_N_sd_t2,total_N_t1_cov,total_N_t2_cov,total_N_t1_sd_calc,total_N_t2_sd_calc,total_N_st_t1,total_N_st_t2,total_N_st_sd_t1,total_N_st_sd_t2,total_N_st_t1_calc,total_N_st_t2_calc,log_total_N_rr,total_N_st_t1_cov,total_N_st_t2_cov,total_N_st_t1_sd_calc,total_N_st_t2_sd_calc
1a,Wu et al.,2008,USA,San Joaquin Valley,North America,no,,35° 36' N,119° 20' W,,102,132,182,18,17.2,semiarid,0.0875,Arid,11.5439,mixed,cereals,yes,2,multiple,CT,,no,,,,,,25,55,30,,,fresh,7.2,73.2,,,,Farm,0,10,10,0-10cm,0-10cm,1.16,1.06,1.191423851,1.170540667,L,,20,L,,20,8.1,8.1,1,1,7.14,8.92,,,,,,,8.506766296,10.44122275,0.096666643,1,1,6.22,6.22,8.74,8.74,0.147721048,0.084,40.51446945,0.583125,0.71976522,,,0.58775268,0.73660675,7.2152,9.2644,7.2152,9.2644,0.678553484,0.517301519,,,0.678553484,0.517301519,0.108568924,0.068306667,28.40115312,1,1,0.92,0.18,,,,,0.544489796,0.064280924,,,,,1.096109943,0.21069732,,,,,-0.708515322,,,,,,,,,,,,,,,,,,,,,
1a,Wu et al.,2008,USA,San Joaquin Valley,North America,no,,35° 36' N,119° 20' W,,102,132,182,18,17.2,semiarid,0.0875,Arid,11.5439,mixed,cereals,yes,2,multiple,CT,,no,,,,,,25,55,30,,,fresh,7.2,73.2,,,,Farm,10,25,15,10-20cm,10-20cm,1.24,1.19,1.24386523,1.243603833,L,,20,L,,20,8.1,8.1,1,1,6.43,8.17,,,,,,,11.99708014,15.24036497,0.104011084,1,1,5.52,5.52,7.98,7.98,0.160063814,0.082,44.56521739,0.5175,0.65717694,,,0.52160688,0.672553989,10.2672,14.2443,10.2672,14.2443,0.965578824,0.795366999,,,0.965578824,0.795366999,0.14218909,0.13257,38.73597475,1,1,0.91,0.19,,,,,0.538571429,0.067852086,,,,,1.697876039,0.354427092,,,,,-0.680287791,,,,,,,,,,,,,,,,,,,,,
1a,Wu et al.,2008,USA,San Joaquin Valley,North America,no,,35° 36' N,119° 20' W,,102,132,182,18,17.2,semiarid,0.0875,Arid,11.5439,mixed,cereals,yes,2,multiple,CT,,no,,,,,,25,55,30,,,fresh,7.2,73.2,,,,Farm,25,60,35,40-50cm,30+cm,1.242,1.454666667,1.272830249,1.400530533,L,,17.5,L,,17.5,9.2,9.2,1,1,4.628,3.726666667,,,,,,,22.10566059,19.15787331,-0.094072801,1,1,1.673333333,1.673333333,2.414666667,2.414666667,0.159274724,0.024711111,44.30278884,0.156875,0.198855044,,,0.15811996,0.203507982,7.27398,12.29387289,7.27398,12.29387289,0.684081449,0.686459902,,,0.684081449,0.686459902,0.227916616,0.167329763,69.01163997,1,1,2.954666667,1.316666667,,,,,1.748680272,0.470203055,,,,,14.20093607,6.999407486,,,,,-0.351032652,,,,,,,,,,,,,,,,,,,,,
1b,Wu et al.,2008,USA,Imperial Valley,North America,no,,32° 49' N,115° 23' W,,-7,65,71,22,22.4,semiarid,0.0263,Hyper Arid,37.4789,mixed,cereals,yes,annually,once,CT,,no,,,,,,85,90,5,,,fresh,7.9,190,,,,Farm,0,10,10,0-10cm,0-10cm,1.22,1.23,1.288673851,1.222177833,SiC,,38,SiC,,38,8.3,8.3,1,1,22.8,21.4,,,,,,,29.3817638,26.15460563,-0.027521074,1,1,8.15,8.15,7.5,7.5,-0.036096345,-0.13,-7.975460123,0.7640625,0.6176475,,,0.7701261,0.632099614,9.943,9.225,9.943,9.225,0.935089435,0.515101519,,,0.935089435,0.515101519,-0.032551065,-0.1436,-7.221160616,1,1,14.6,13.9,,,,,8.640816327,4.963915797,,,,,18.81463822,16.98827188,,,,,-0.021338056,,,,,,,,,,,,,,,,,,,,,
1b,Wu et al.,2008,USA,Imperial Valley,North America,no,,32° 49' N,115° 23' W,,-7,65,71,22,22.4,semiarid,0.0263,Hyper Arid,37.4789,mixed,cereals,yes,annually,once,CT,,no,,,,,,85,90,5,,,fresh,7.9,190,,,,Farm,10,25,15,10-20cm,10-20cm,1.45,1.12,1.355811207,1.206851167,SiC,,38,SiC,,38,8.3,8.3,1,1,22.2,21.4,,,,,,,45.14851319,38.73992246,-0.015939201,1,1,7.73,7.73,7.48,7.48,-0.014277896,-0.05,-3.234152652,0.7246875,0.61600044,,,0.73043862,0.630414015,16.81275,12.5664,16.81275,12.5664,1.581155074,0.701677152,,,1.581155074,0.701677152,-0.126427876,-0.84927,-25.25672481,1,1,14.4,13.9,,,,,8.52244898,4.963915797,,,,,29.28552207,25.16284683,,,,,-0.015347692,,,,,,,,,,,,,,,,,,,,,
1b,Wu et al.,2008,USA,Imperial Valley,North America,no,,32° 49' N,115° 23' W,,-7,65,71,22,22.4,semiarid,0.0263,Hyper Arid,37.4789,mixed,cereals,yes,annually,once,CT,,no,,,,,,85,90,5,,,fresh,7.9,190,,,,Farm,25,60,35,40-50cm,30+cm,1.318666667,1.316666667,1.322418295,1.309773456,SiC,,30,SiC,,30,8.3,8.3,1,1,18.02,19.65333333,,,,,,,89.36355316,96.75361971,0.037681433,1,1,3.14,3.14,2.966666667,2.966666667,-0.024660896,-0.034666667,-5.520169851,0.294375,0.2443139,,,0.29671116,0.250030514,14.49214667,13.67138889,14.49214667,13.67138889,1.362913933,0.763377038,,,1.362913933,0.763377038,-0.025320083,-0.164151556,-5.663465853,1,1,14.9,16.62666667,,,,,8.818367347,5.937652757,,,,,74.05951789,82.21295563,,,,,0.047618922,,,,,,,,,,,,,,,,,,,,,
2a,Sainju et al. ,2014,USA,"Nesson Valley, North Dakota, NTBO",North America,yes,N-,48° 6' N,103° 6' W,,573,373,364,13.5,5.4,semiarid,0.2945,Semi-Arid,3.3929,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,3,6,3,sprinklers,sprinkler,,,,,,,Plot,0,10,10,0-10cm,0-10cm,1.450007759,1.376103667,1.450007759,1.376103667,SL,72,16,SL,72,16,7.7,7.7,,,,,,,,,,,,,,3,3,8.758573822,8.758573822,8.792942196,8.792942196,0.001700823,0.011456125,0.392396921,0.821116296,0.724125169,,,0.827632675,0.741068715,12.7,12.1,12.7,12.1,1.1943715,0.675634512,,,1.1943715,0.675634512,-0.021018351,-0.2,-4.724409449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b,Sainju et al. ,2014,USA,"Nesson Valley, North Dakota, NTBN",North America,yes,N+,48° 6' N,103° 6' W,,573,373,364,13.5,5.4,semiarid,0.2945,Semi-Arid,3.3929,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,3,6,3,sprinklers,sprinkler,,,,,,,Plot,0,10,10,0-10cm,0-10cm,1.450304885,1.379034833,1.450304885,1.379034833,SL,72,16,SL,72,16,7.7,7.7,,,,,,,,,,,,,,3,3,9.239436575,9.239436575,9.281854014,9.281854014,0.001989245,0.014139146,0.459091181,0.866197179,0.764388524,,,0.87307132,0.782274178,13.4,12.8,13.4,12.8,1.260203,0.714720806,,,1.260203,0.714720806,-0.019894829,-0.2,-4.47761194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bedbais et al.,2017,Tunisia,El Hajeb,Africa,no,,34° 43' N,10° 41' E,,20,250,228,23,19.2,semiarid,0.1227,Arid,8.1053,woody perennials,woody crops,no,no,never,na,,,,no,,no,,5,10,5,drippers,drippers,fresh,7.95,288.5,184.5,,,Plot,0,80,80,30-40cm,30+cm,1.427193391,1.366299667,1.427193391,1.366299667,SL,68,7,SL,68,7,7.8,7.7,,,,,,,,,,,,,,1,1,0.47,0.47,0.37,0.37,-0.103896134,-0.02,-21.27659574,0.0440625,0.03047061,,,0.04441218,0.031183581,5.36624715,4.044247014,5.36624715,4.044247014,0.504668713,0.225820897,,,0.504668713,0.225820897,-0.122832997,-0.264400027,-24.63546868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Benjamin et al.,2010,USA,Akron,North America,no,,40° 8' N,103° 9' W,1384,1388,400,396,,9.5,semiarid,0.2262,Semi-Arid,4.4091,cereals,cereals,yes,0,never,NT,no,no,no,,,,,4,10,6,sprinklers,sprinkler,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.52,1.31,1.449305172,1.3256635,SL,,,SL,,,,,,,,,,,,,,,,,,3,3,19.6,19.6,24.6,24.6,0.098679036,0.833333333,25.51020408,1.8375,2.0258838,,,1.8520824,2.073286733,44.688,48.339,44.688,48.339,4.20268296,2.699131958,,,4.20268296,2.699131958,0.034106743,0.6085,8.169978518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
