ref_num,authors,year,country,site_name,geo_area,N_pair,N_pair_state,latitude,longitude,elevation,elev_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,crop type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrig_t1,years_since_irrig_t2,study_duration,study_duration_cat,irrig_method,irrig_methodcat,irrig_water_type,irrig_water_pH,irrig_water_bicarbonate,irrig_water_Ca,irrig_water_OC,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_cat_2,BD_t1,BD_t2,BD_t1_rf,BD_t2_rf,soil_texture,soil_texture_t1,per_sand_t1,per_clay_t1,soil_texture_t2,per_sand_t2,per_clay_t2,soil_pH_t1,soil_pH_t2,total_C_n_t1,total_C_n_t2,total_C_t1,total_C_t2,total_C_sd_t1,total_C_sd_t2,total_C_st_t1,total_C_st_t2,total_C_st_sd_t1,total_C_st_sd_t2,total_C_st_t1_calc,total_C_st_t2_calc,log_total_C_rr,organic_C_n_t1,organic_C_n_t2,organic_C_t1,OC_t1_calc,organic_C_t2,OC_t2_calc,log_organic_C_rr,OC_change_rate,per_OC_change,organic_C_sd_t1,organic_C_sd_t2,organic_C_t1_cov,organic_C_t2_cov,organic_C_t1_sd_calc,organic_C_t2_sd_calc,organic_C_st_t1,organic_C_st_t2,organic_C_st_t1_calc,organic_C_st_t2_calc,organic_C_st_sd_t1,organic_C_st_sd_t2,organic_C_st_t1_cov,organic_C_st_t2_cov,organic_C_st_sd_t1_calc,organic_C_st_sd_t2_calc,log_organic_C_st_rr,OC_st_change_rate,per_OC_st_change,inorganic_C_n_t1,inorganic_C_n_t2,inorganic_C_t1,inorganic_C_t2,inorganic_C_sd_t1,inorganic_C_sd_t2,inorganic_C_sd_t1_cov,inorganic_C_sd_t2_cov,inorganic_C_sd_t1_calc,inorganic_C_sd_t2_calc,inorganic_C_st_t1,inorganic_C_st_t2,inorganic_C_st_sd_t1,inorganic_C_st_sd_t2,inorganic_C_st_t1_calc,inorganic_C_st_t2_calc,inorganic_C_st_t1_cov,inorganic_C_st_t2_cov,inorganic_C_st_t1_sd_cov,inorganic_C_st_t2_sd_cov,log_inorg_C_rr,total_N_n_t1,total_N_n_t2,total_N_t1,total_N_t2,total_N_sd_t1,total_N_sd_t2,total_N_t1_cov,total_N_t2_cov,total_N_t1_sd_calc,total_N_t2_sd_calc,total_N_st_t1,total_N_st_t2,total_N_st_sd_t1,total_N_st_sd_t2,total_N_st_t1_calc,total_N_st_t2_calc,log_total_N_rr,total_N_st_t1_cov,total_N_st_t2_cov,total_N_st_t1_sd_calc,total_N_st_t2_sd_calc
2a,Sainju et al. ,2014,USA,"Nesson Valley, North Dakota, NTBO",North America,yes,N-,48° 6' N,103° 6' W,,573,373,364,13.5,5.4,semiarid,0.2945,Semi-Arid,3.3929,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,3,6,3,short term,sprinklers,sprinkler,,,,,,,Plot,0,10,10,0-10cm,0-10cm,1.450007759,1.376103667,1.450007759,1.376103667,coarse,SL,72,16,SL,72,16,7.7,7.7,,,,,,,,,,,,,,3,3,8.758573822,8.758573822,8.792942196,8.792942196,0.003916291,0.011456125,0.392396921,0.821116296,0.724125169,,,0.827632675,0.741068715,12.7,12.1,12.7,12.1,1.1943715,0.675634512,,,1.1943715,0.675634512,-0.048396541,-0.2,-4.724409449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b,Sainju et al. ,2014,USA,"Nesson Valley, North Dakota, NTBN",North America,yes,N+,48° 6' N,103° 6' W,,573,373,364,13.5,5.4,semiarid,0.2945,Semi-Arid,3.3929,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,3,6,3,short term,sprinklers,sprinkler,,,,,,,Plot,0,10,10,0-10cm,0-10cm,1.450304885,1.379034833,1.450304885,1.379034833,coarse,SL,72,16,SL,72,16,7.7,7.7,,,,,,,,,,,,,,3,3,9.239436575,9.239436575,9.281854014,9.281854014,0.004580406,0.014139146,0.459091181,0.866197179,0.764388524,,,0.87307132,0.782274178,13.4,12.8,13.4,12.8,1.260203,0.714720806,,,1.260203,0.714720806,-0.045809536,-0.2,-4.47761194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bedbais et al.,2017,Tunisia,El Hajeb,Africa,no,,34° 43' N,10° 41' E,,20,250,228,23,19.2,semiarid,0.1227,Arid,8.1053,woody perennials,woody crops,no,no,never,na,,,,no,,no,,5,10,5,short term,drippers,drippers,fresh,7.95,288.5,184.5,,,Plot,0,80,80,30-40cm,30+cm,1.427193391,1.366299667,1.427193391,1.366299667,coarse,SL,68,7,SL,68,7,7.8,7.7,,,,,,,,,,,,,,1,1,0.47,0.47,0.37,0.37,-0.239229689,-0.02,-21.27659574,0.0440625,0.03047061,,,0.04441218,0.031183581,5.36624715,4.044247014,5.36624715,4.044247014,0.504668713,0.225820897,,,0.504668713,0.225820897,-0.282833429,-0.264400027,-24.63546868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Benjamin et al.,2010,USA,Akron,North America,no,,40° 8' N,103° 9' W,1384,1388,400,396,,9.5,semiarid,0.2262,Semi-Arid,4.4091,cereals,cereals,yes,0,never,NT,no,no,no,,,,,4,10,6,medium term,sprinklers,sprinkler,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.52,1.31,1.449305172,1.3256635,coarse,SL,,,SL,,,,,,,,,,,,,,,,,,3,3,19.6,19.6,24.6,24.6,0.227216877,0.833333333,25.51020408,1.8375,2.0258838,,,1.8520824,2.073286733,44.688,48.339,44.688,48.339,4.20268296,2.699131958,,,4.20268296,2.699131958,0.078533679,0.6085,8.169978518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Benjamin et al.,2010,USA,Akron,North America,no,,40° 8' N,103° 9' W,1384,1388,400,396,,9.5,semiarid,0.2262,Semi-Arid,4.4091,cereals,cereals,yes,0,never,NT,no,no,no,,,,,4,10,6,medium term,sprinklers,sprinkler,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.46,1.28,1.402823851,1.3160775,fine,SiCL,,,SiCL,,,,,,,,,,,,,,,,,,3,3,18.7,18.7,16.8,16.8,-0.107144637,-0.316666667,-10.16042781,1.753125,1.3835304,,,1.7670378,1.415903135,40.953,32.256,40.953,32.256,3.851424885,1.801096432,,,3.851424885,1.801096432,-0.238720995,-1.4495,-21.23653945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Deshmukh et al.,2015,India,Keshopur,Asia,no,,28° 42' N,77° 5' E,,216,,660,,25.1,,0.3344,Semi-Arid,3.0258,,,,,,,,,,,,,,5,20,15,medium term,floodfurr,floodfurr,sewage,,,,,,Farm,0,15,15,0-10cm,0-10cm,1.357620977,1.317817333,1.357620977,1.317817333,,,,,,,,7.7,7.6,,,,,,,,,,,,,,1,1,0.4,0.4,0.85,0.85,0.753771802,0.03,112.5,0.0375,0.07000005,,,0.0377976,0.071637956,0.814572586,1.6802171,0.814572586,1.6802171,0.076606479,0.093819228,,,0.076606479,0.093819228,0.724014748,0.057709634,106.2697822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Deshmukh et al.,2015,India,Keshopur,Asia,no,,28° 42' N,77° 5' E,,216,,660,,25.1,,0.3344,Semi-Arid,3.0258,,,,,,,,,,,,,,5,20,15,medium term,floodfurr,floodfurr,sewage,,,,,,Farm,15,30,15,20-30cm,20-30cm,1.344133621,1.3082145,1.344133621,1.3082145,,,,,,,,8.1,7.9,,,,,,,,,,,,,,1,1,0.24,0.24,0.3,0.3,0.223143551,0.004,25,0.0225,0.0247059,,,0.02267856,0.025283985,0.483888104,0.588696525,0.483888104,0.588696525,0.045507257,0.032871379,,,0.045507257,0.032871379,0.196057124,0.006987228,21.65964004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Deshmukh et al.,2015,India,Keshopur,Asia,no,,28° 42' N,77° 5' E,,216,,660,,25.1,,0.3344,Semi-Arid,3.0258,,,,,,,,,,,,,,5,20,15,medium term,floodfurr,floodfurr,sewage,,,,,,Farm,30,60,30,40-50cm,30+cm,1.341684195,1.318909889,1.341684195,1.318909889,,,,,,,,7.8,7.9,,,,,,,,,,,,,,1,1,0.153333333,0.153333333,0.163333333,0.163333333,0.063178902,0.000666667,6.52173913,0.014375,0.01345099,,,0.01448908,0.013765725,0.61717473,0.646265845,0.61717473,0.646265845,0.058042197,0.03608591,,,0.058042197,0.03608591,0.046058768,0.001939408,4.713594764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Eleftheriadis & Turrion,2014,Greece,Filyria,Europe,no,,40° 54' N,22° 29' E,170,148,506,440,15,14.2,mediterranean,0.3255,Semi-Arid,3.0636,mixed,woody crops,yes,2,multiple,CT,no,no,no,yes,,no,no,25,72,47,long term,sprinklers,sprinkler,fresh,,,,,,Farm,0,15,15,0-10cm,0-10cm,1.353610632,1.363344167,1.353610632,1.363344167,fine,CL,30,34,CL,30,34,7.9,7.9,,,,,,,,,,,,,,12,12,11.9,11.9,7.3,7.3,-0.488664052,-0.09787234,-38.65546218,0.8,0.6,0.067226891,0.082191781,1.1244786,0.615243624,24.16194978,14.92861863,24.16194978,14.92861863,2.272310567,0.833577683,,,2.272310567,0.833577683,-0.481498989,-0.196453854,-38.21434626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a,Faria et al.,2004,Brazil,Petrolina-1,South America,no,,9° 23' S,40° 30' W,,382,,515,,25.7,,0.2655,Semi-Arid,3.7204,woody perennials,woody crops,no,,,na,,no,no,yes,,,yes,6,9,3,short term,microsprinkler,sprinkler,fresh,,,,,,Plot,0,10,10,0-10cm,0-10cm,1.464880172,1.470118833,1.464880172,1.470118833,coarse,LS,80,10,LS,80,10,6.5,6.5,,,,,,,,,,,,,,5,5,7.1,7.1,8.8,8.8,0.214656937,0.566666667,23.94366197,0.665625,0.7247064,,,0.6709074,0.741663547,10.40064922,12.93704573,10.40064922,12.93704573,0.978129056,0.722373106,,,0.978129056,0.722373106,0.218226728,0.845465503,24.38690562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
