ref_num,group,treatment,depth_category,log_organic_C_rr,per_OC_change,conc_sd,organic_C_st_t1,organic_C_st_t2,st_sd,log_organic_C_st_rr,per_OC_st_change,n
1a,aridity,Arid,0-10cm,0.340140283,40.51446945,0.65144511,7.2152,9.2644,0.597927501,0.249989186,28.40115312,1
1a,aridity,Arid,10-20cm,0.368560551,44.56521739,0.58733847,10.2672,14.2443,0.880472911,0.327402479,38.73597475,1
1a,aridity,Arid,30+cm,0.366743606,44.30278884,0.177865022,7.27398,12.29387289,0.685270676,0.524797402,69.01163997,1
1b,aridity,Hyper Arid,0-10cm,-0.083114907,-7.975460123,0.690855,9.943,9.225,0.725095477,-0.074951596,-7.221160616,1
1b,aridity,Hyper Arid,10-20cm,-0.032876071,-3.234152652,0.67034397,16.81275,12.5664,1.141416113,-0.291110942,-25.25672481,1
1b,aridity,Hyper Arid,30+cm,-0.056783812,-5.520169851,0.26934445,14.49214667,13.67138889,1.063145486,-0.058301647,-5.663465853,1
2a,aridity,Semi-Arid,0-10cm,0.003916291,0.392396921,0.772620732,12.7,12.1,0.935003006,-0.048396541,-4.724409449,3
3,aridity,Arid,30+cm,-0.239229689,-21.27659574,0.037266555,5.36624715,4.044247014,0.365244805,-0.282833429,-24.63546868,1
4,aridity,Semi-Arid,0-10cm,0.227216877,25.51020408,1.9316919,44.688,48.339,3.450907459,0.078533679,8.169978518,3
4,aridity,Semi-Arid,20-30cm,-0.107144637,-10.16042781,1.5683277,40.953,32.256,2.826260659,-0.238720995,-21.23653945,3
5,aridity,Semi-Arid,0-10cm,0.753771802,112.5,0.053750025,0.814572586,1.6802171,0.085212854,0.724014748,106.2697822,1
5,aridity,Semi-Arid,20-30cm,0.223143551,25,0.02360295,0.483888104,0.588696525,0.039189318,0.196057124,21.65964004,1
5,aridity,Semi-Arid,30+cm,0.063178902,6.52173913,0.013912995,0.61717473,0.646265845,0.047064054,0.046058768,4.713594764,1
6,aridity,Semi-Arid,0-10cm,-0.488664052,-38.65546218,0.7,24.16194978,14.92861863,1.552944125,-0.481498989,-38.21434626,12
7a,aridity,Semi-Arid,0-10cm,0.214656937,23.94366197,0.6951657,10.40064922,12.93704573,0.850251081,0.218226728,24.38690562,5
7b,aridity,Semi-Arid,10-20cm,0.043172172,4.411764706,0.61110315,10.0224731,10.51764061,0.764921452,0.048224024,4.940572142,5
8a,aridity,Semi-Arid,0-10cm,0.035297782,3.592814371,1.49516595,23.7975,28.8045,1.923204485,0.190951092,21.04002521,4
8a,aridity,Semi-Arid,20-30cm,0.255246797,29.07801418,1.4103498,21.573,30.849,1.875682883,0.357661802,42.99819218,4
8b,aridity,Semi-Arid,0-10cm,-0.076961041,-7.407407407,1.3770225,23.085,21.6,1.688560093,-0.066489741,-6.432748538,4
8b,aridity,Semi-Arid,20-30cm,0.069472373,7.194244604,1.26509235,21.267,23.9145,1.667691208,0.117328394,12.44886444,4
