ref_num,authors,year,country,site_name,latitude,longitude,elevation,elec_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,vegetation_type,crop_type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrigation,irrig_method,irrig_methodcat,irrig_type,irrig_water_pH,irrig_water_bicarbinate,irrig_water_Ca,irrig_water_C,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_category_2,BD_native,BD_irrig,BD_nat_rf,BD_irr_rf,per_sand_nat,per_clay_nat,soil_texture_nat,per_sand_irrig,per_clay_irrig,soil_texture_irrig,soil_pH_nat,soil_pH_irrig,total_C_n_native,total_C_n_irr,total_C_nat,total_C_irr,total_C_sd_nat,total_C_sd_irr,total_C_nat_cov,total_C_irr_cov,total_C_nat_sd_calc,total_C_irr_sd_calc,total_C_st_nat,total_C_st_irr,total_C_st_sd_nat,total_C_st_sd_irr,total_C_st_nat_calc,total_C_st_irr_calc,log_total_C_rr,log_total_C_st_calc_rr,total_C_st_nat_cov,total_C_st_irr_cov,total_C_st_sd_nat_calc,total_C_st_sd_nat_calc,organic_C_n_nat,organic_C_n_irr,organic_C_nat,organic_C_irr,log_organic_C_rr,organic_C_sd_nat,organic_C_sd_irr,organic_C_nat_cov,organic_C_irr_cov,organic_C_nat_sd_calc,organic_C_irr_sd_calc,organic_C_st_nat,organic_C_st_irr,organic_C_st_sd_nat,organic_C_st_sd_irr,organic_C_st_nat_calc,organic_C_st_irr_calc,log_organic_C_st_rr,per_OC_st_change,organic_C_st_nat_cov,organic_C_st_irr_cov,organic_C_st_sd_nat_calc,organic_C_st_sd_irr_calc,OC_change_rate,inorganic_C_n_nat,inorganic_C_n_irr,inorganic_C_nat,inorganic_C_irr,log_inorganic_C_rr,inorganic_C_sd_nat,inorganic_C_sd_irr,inorganic_C_nat_cov,inorganic_C_irr_cov,inorganic_C_nat_sd_calc,inorganic_C_irr_sd_calc,inorganic_C_st_nat,inorganic_C_st_irr,inorganic_C_st_sd_nat,inorganic_C_st_sd_irr,inorganic_C_st_nat_calc,inorganic_C_st_irr_calc,log_inorganic_C_st_nat_calc_rr,inorganic_C_st_nat_cov,inorganic_st_C_irr_cov,inorganic_C_st_nat_sd_calc,inorganic_C_st_nat_sd_calc,total_N_n_nat,total_N_n_irr,total_N_nat,total_N_irr,log_total_N_rr,total_N_sd_nat,total_N_sd_irr,total_N_nat_cov,total_N_irr_cov,total_N_nat_sd_calc,total_N_irr_sd_calc,total_N_st_nat,total_N_st_irr,log_total_N_st_rr,total_N_st_sd_nat,total_N_st_sd_irr,total_N_st_nat_calc,total_N_st_irr_calc,log_total_N_st_rr_calc,total_N_nat_st_cov,total_N_irr_st_cov,total_N_nat_st_sd_calc,total_N_irr_st_sd_calc
1a,Wu et al.,2008,USA,San Joaquin Valley,35° 36' N,119° 20' W,,102,132,182,18,17.2,semiarid,0.0875,Arid,11.544,native shrubs,mixed,cereals,yes,2,multiple,CT,,no,,,,,,55,,,fresh,7.2,73.2,,,,Farm,0,10,10,0-10cm,0-10cm,1.43,1.06,1.352822667,1.147808222,,20,L,,20,L,8.1,8.1,1,1,9.25,8.92,,,,,,,,,,,12.51360967,10.23844934,-0.015776878,-0.087148418,,,1.083156391,0.726375381,1,1,8.14,8.74,0.030887028,,,,,1.45408056,1.224009197,,,,,11.01197651,10.03184386,-0.040484512,-8.900606073,,,0.656818185,0.319533702,0.010909091,1,1,1.12,0.18,-0.793945518,,,,,0.288414634,0.026423319,,,,,1.515161387,0.20660548,-0.865317058,,,0.437366174,0.102433838,,,,,,,,,,,,,,,,,,,,,,,
1a,Wu et al.,2008,USA,San Joaquin Valley,35° 36' N,119° 20' W,,102,132,182,18,17.2,semiarid,0.0875,Arid,11.544,native shrubs,mixed,cereals,yes,2,multiple,CT,,no,,,,,,55,,,fresh,7.2,73.2,,,,Farm,10,25,15,10-20cm,10-20cm,1.26,1.19,1.287036222,1.194882,,20,L,,20,L,8.1,8.1,1,1,6.81,8.17,,,,,,,,,,,13.14707501,14.64327891,0.079074945,0.046809194,,,1.137988054,1.038879711,1,1,3.37,7.98,0.37437299,,,,,0.601996497,1.117573615,,,,,6.505968102,14.30273754,0.34210724,119.8402654,,,0.388053694,0.455569957,0.083818182,1,1,3.43,0.19,-1.256540519,,,,,0.883269817,0.027891282,,,,,6.621801362,0.34054137,-1.28880627,,,1.911447816,0.168838502,,,,,,,,,,,,,,,,,,,,,,,
1a,Wu et al.,2008,USA,San Joaquin Valley,35° 36' N,119° 20' W,,102,132,182,18,17.2,semiarid,0.0875,Arid,11.544,native shrubs,mixed,cereals,yes,2,multiple,CT,,no,,,,,,55,,,fresh,7.2,73.2,,,,Farm,25,60,35,40-50cm,30+cm,1.092,1.454666667,1.135610252,1.41353703,,18.93333333,L,,18.93333333,L,9.2,9.2,1,1,4.234,3.726666667,,,,,,,,,,,17.85805434,19.32780358,-0.055430305,0.034348363,,,1.545762269,1.371227245,1,1,1.945333333,2.414666667,0.093863158,,,,,0.347502627,0.338166385,,,,,8.278021196,12.28434727,0.171425551,48.39714688,,,0.493749224,0.391280308,0.008533333,1,1,2.288666667,1.316666667,-0.240106703,,,,,0.589361571,0.193281687,,,,,9.580033139,7.066033562,-0.132191315,,,2.765370391,3.503299817,,,,,,,,,,,,,,,,,,,,,,,
1b,Wu et al.,2008,USA,Imperial Valley,32° 49' N,115° 23' W,,-7,65,71,22,22.4,semiarid,0.0263,Hyper Arid,37.4789,native shrubs,mixed,cereals,yes,2,multiple,CT,,no,,,,,,90,,,fresh,7.9,190,,,,Farm,0,10,10,0-10cm,0-10cm,0.98,1.23,1.09146,1.217028556,,38,SiC,,38,SiC,8.3,8.3,1,1,17.6,21.4,,,,,,,,,,,19.209696,26.0444111,0.084901106,0.13219405,,,1.662758032,1.847742602,1,1,4.62,7.5,0.210419288,,,,,0.825288967,1.050351142,,,,,5.0425452,9.12771417,0.257712232,81.0140278,,,0.300766659,0.290735416,0.032,1,1,13,13.9,0.029071448,,,,,3.347669861,2.040467437,,,,,14.18898,16.91669693,0.076364392,,,4.095788041,8.387203477,,,,,,,,,,,,,,,,,,,,,,,
1b,Wu et al.,2008,USA,Imperial Valley,32° 49' N,115° 23' W,,-7,65,71,22,22.4,semiarid,0.0263,Hyper Arid,37.4789,native shrubs,mixed,cereals,yes,2,multiple,CT,,no,,,,,,90,,,fresh,7.9,190,,,,Farm,10,25,15,10-20cm,10-20cm,1.13,1.12,1.144678444,1.189441667,,38,SiC,,38,SiC,8.3,8.3,1,1,16.6,21.4,,,,,,,,,,,28.50249326,38.18107751,0.110305685,0.126965329,,,2.467126476,2.708788586,1,1,3.43,7.48,0.338607478,,,,,0.612714536,1.047550205,,,,,5.889370594,13.3455355,0.355267121,126.603765,,,0.35127624,0.425081213,0.045,1,1,13.2,13.9,0.022440869,,,,,3.399172474,2.040467437,,,,,22.66463319,24.79985876,0.039100513,,,6.542368344,12.29563091,,,,,,,,,,,,,,,,,,,,,,,
1b,Wu et al.,2008,USA,Imperial Valley,32° 49' N,115° 23' W,,-7,65,71,22,22.4,semiarid,0.0263,Hyper Arid,37.4789,native shrubs,mixed,cereals,yes,2,multiple,CT,,no,,,,,,90,,,fresh,7.9,190,,,,Farm,25,60,35,40-50cm,30+cm,1.312666667,1.316666667,1.285142696,1.303832007,,33.73333333,SiCL,,33.73333333,SiCL,8.3,8.3,1,1,15.82,19.65333333,,,,,,,,,,,76.64497835,96.32052916,0.094229741,0.099235154,,,6.634256647,6.833540774,1,1,2.082666667,2.966666667,0.153648986,,,,,0.372035026,0.415472229,,,,,10.02343521,14.17139589,0.150396043,41.38262579,,,0.597855845,0.45138647,0.009822222,1,1,13.73333333,16.62666667,0.083029229,,,,,3.536512776,2.440731792,,,,,66.60664311,81.8542834,0.089523864,,,19.22665987,40.58289471,,,,,,,,,,,,,,,,,,,,,,,
2,Zobeck et al.,2007,USA,Lubbock - cotton CT,33° 35' N,101° 51' W,,978,,487,,16,semiarid,0.2136,Semi-Arid,4.7269,native grasses,cotton,woody crops,no,7,multiple,CT,no,no,,,annually,no,,,,,,,,,,,Farm,0,10,10,0-10cm,0-10cm,1.41,1.36,1.385934556,1.352588611,67.6,16.1,SL,84.2,10,LS,7.3,7.65,,,,,,,,,,,,,,,,,,,,,,,5,2,8.6,4.45,-0.28613844,2.91,1.055,0.338372093,0.304347826,1.536252189,0.623208344,,,,,11.91903718,6.019512128,-0.296679881,-49.49665785,,,0.710920548,0.191733147,,,,,,,,,,,,,,,,,,,,,,,,5,2,0.7,0.4,-0.243038049,0.22,0.14,0.314285714,0.35,0.110526316,0.058878143,,,,,,0.970154189,0.541035445,-0.253615046,,,0.060216467,0.015120067
2,Zobeck et al.,2007,USA,Lubbock - wheat cotton CT,33° 35' N,101° 51' W,,978,,487,,16,semiarid,0.2136,Semi-Arid,4.7269,native grasses,mixed,cereals,yes,,,CT,no,no,non-legumes,,annually,no,,,,,,,,,,,Farm,0,10,10,0-10cm,0-10cm,1.41,1.37,1.375211556,1.349303222,67.6,16.1,SL,84,10.2,LS,7.3,7.6,,,,,,,,,,,,,,,,,,,,,,,5,2,8.6,4.3,-0.301029996,2.91,0.71,0.338372093,0.165116279,1.536252189,0.602201321,,,,,11.82681938,5.802003855,-0.309289951,-50.94197629,,,0.705420143,0.184805086,,,,,,,,,,,,,,,,,,,,,,,,5,2,0.7,0.4,-0.243038049,0.22,0.14,0.314285714,0.35,0.110526316,0.058878143,,,,,,0.962648089,0.539721289,-0.251298004,,,0.059750571,0.015083341
3,Zhang et al.,2014,China,Gaolan Experiment Station - AL,36° 13' N,103° 47' E,1780,1905,263,342,8.4,8,semiarid,0.28,Semi-Arid,3.652,native shrubs and grasses,"mixed, then cereals",cereals,yes,1,once,CT,no,no,,annually,,manure,no,50,furrow,floodfurr,,,,,,,Plot,0,10,10,0-10cm,0-10cm,1.17,1.15,1.181748889,1.211696,32,3.8,SiL,24,5.4,SiL,9.24,8.95,,,,,,,,,,,,,,,,,,,,,,,3,3,5.71,6.06,0.025836516,1.02,0.38,0.178633975,0.062706271,1.02,0.848683722,,,,,6.747786156,7.34287776,0.036704987,8.81906436,,,0.402477126,0.233884911,0.007,,,,,,,,,,,,,,,,,,,,,,,3,3,0.71,0.75,0.023802915,0.1,0.03,0.14084507,0.04,0.112105263,0.110396518,,,,,,0.839041711,0.908772,0.034671386,,,0.052078451,0.02539703
3,Zhang et al.,2014,China,Gaolan Experiment Station - AL,36° 13' N,103° 47' E,1780,1905,263,342,8.4,8,semiarid,0.28,Semi-Arid,3.652,native shrubs and grasses,"mixed, then cereals",cereals,yes,1,once,CT,no,no,,annually,,manure,no,50,furrow,floodfurr,,,,,,,Plot,10,20,10,10-20cm,10-20cm,1.13,1.21,1.147846222,1.237713778,27,3.8,SiL,18,6,SiL,9.21,9.05,,,,,,,,,,,,,,,,,,,,,,,3,3,4.83,5.6,0.064240896,0.54,0.21,0.111801242,0.0375,0.862802102,0.784262186,,,,,5.544097252,6.931197157,0.096977413,25.01940067,,,0.330682134,0.220772085,0.0154,,,,,,,,,,,,,,,,,,,,,,,3,3,0.65,0.7,0.032184683,0.16,0.02,0.246153846,0.028571429,0.102631579,0.10303675,,,,,,0.746100044,0.866399645,0.0649212,,,0.046309658,0.02421287
