ref_num,authors,year,country,site,Latitude,Longitude,elevation,elevation_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,crop_type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrigation,irrig_method,irrig_methodcat,irrig_type,irrig_water_pH,irrig_water_bicarbinate,irrig_water_Ca,irrig_water_C,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_category_2,BD_rainfed,BD_irrig,BD_rain_rf,BD_irrig_rf,per_sand_rainfed,per_clay_rainfed,soil_texture_rainfed,per_sand_irrig,per_clay_irrig,soil_texture_irrig,soil_pH_rainfed,soil_pH_irrig,total_C_n_rainfed,total_C_n_irrig,total_C_rainfed,total_C_irrig,total_C_sd_rainfed,total_C_sd_irrig,total_C_rainfed_cov,total_C_irrig_cov,total_C_rainfed_sd_calc,total_C_irrig_sd_calc,total_C_st_rainfed,total_C_st_irrig,total_C_st_sd_rainfed,total_C_st_sd_irrig,total_C_st_rain_calc,total_C_st_irr_calc,total_C_st_rain_cov,total_C_st_irr_cov,total_C_st_sd_rain_calc,total_C_st_sd_irr_calc,organic_C_n_rainfed,organic_C_n_irrig,organic_C_rainfed,organic_C_irrig,log_organic_C_ratio,organic_C_sd_rainfed,organic_C_sd_irrig,organic_C_rain_cov,organic_C_irr_cov,organic_C_rain_sd_calc,organic_C_irr_sd_calc,organic_C_st_rainfed,organic_C_st_irrig,organic_C_st_sd_rainfed,organic_C_st_sd_irrig,organic_C_st_rain_calc,organic_C_st_irr_calc,log_organic_C_st_rr,per_OC_st_change,organic_C_st_rain_cov,organic_C_st_irr_cov,organic_C_st_rain_sd_calc,organic_C_st_irr_sd_calc,OC_change_rate,OC_change_rate,inorganic_C_n_rainfed,inorganic_C_n_irrig,inorganic_C_rainfed,inorganic_C_irrig,inorganic_C_sd_rainfed,inorganic_C_sd_irrig,inorganic_C_rain_cov,inorganic_C_irr_cov,inorganic_C_rain_sd_calc,inorganic_C_irr_sd_calc,inorganic_C_st_rainfed,inorganic_C_st_irrig,inorganic_C_st_sd_rainfed,inorganic_C_st_sd_irrig,inorganic_C_st_rain_calc,inorganic_C_st_irr_calc,inorganic_C_st_rain_cov,inorganic_C_st_irr_cov,inorganic_C_st_sd_rain_calc,inorganic_C_st_sd_irr_calc,total_N_n_rainfed,total_N_n_irrig,total_N_rainfed,total_N_irrig,total_N_sd_rainfed,total_N_sd_irrig,total_N_rain_cov,total_N_irr_cov,total_N_rain_sd_calc,total_N_irr_sd_calc,total_N_st_rainfed,total_N_st_irrig,total_N_st_sd_rainfed,total_N_st_sd_irrig,total_N_st_rain_calc,total_N_st_irr_calc,total_N_st_rain_cov,total_N_st_irr_cov,total_N_st_sd_rain_calc,total_N_st_sd_irr_calc
1,Zobeck et al.,2007,USA,Lubbock - wheat cotton CT,33° 35? N,101° 51? W,,978,unknown,487,,16,semiarid,0.2136,Semi-Arid,4.7269,mixed,cereals,yes,,,CT,no,no,non-legumes,,yes,no,,,overhead sprinklers,sprinkler,,,,,,,Farm,0,10,10,0-10cm,0-10cm,1.35,1.37,1.403018,1.401118667,48.9,25.9,SCL,84,10.2,SCL,8.2,7.6,,,,,,,,,,,,,,,,,,,,,1,2,6.3,4.3,-0.165872094,0.4,0.71,0.063492063,0.165116279,0.4,3.053,,,,,8.8390134,6.024810268,-0.166460418,-31.83843043,,,1.047440381,0.461527909,,,,,,,,,,,,,,,,,,,,,,,1,2,0.7,0.4,0.04,0.14,0.057142857,0.35,0.04,0.024778761,,,,,0.9821126,0.560447467,,,0.122127992,0.042782249
2,Mahmood et al.,2015,Pakistan,Chakwal District,32°48' N,72° 42' E,,640,630,497,,22,semiarid,0.2837,Semi-Arid,3.5936,wheat,cereals,no,6,multiple,CT,no,no,no,yes,yes,yes,no,2,,,fresh,,,,,,Farm,0,15,15,0-10cm,0-10cm,1.26,1.26,1.262696333,1.287743,,,SL,,,L,7.95,7.99,,,,,,,,,,,,,,,,,,,,,3,3,2.6,3.47,0.125356127,0.017,0.012,0.006538462,0.003458213,0.165079365,2.4637,,,,,4.924515699,6.702702315,0.133886405,36.10886277,,,0.583564745,0.513457527,0.889093308,0.435,,,,,,,,,,,,,,,,,,,,,3,5,2.7,3.1,,,,,0.154285714,0.192035398,,,,,5.113920149,5.98800495,,,0.635927894,0.457099615
3,Sainju et al. ,2014,USA,"Nesson Valley, North Dakota NTBO",48° 6? N,103° 6? W,,573,373,364,13.5,5.3,semiarid,0.2945,Semi-Arid,3.3929,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,6,overhead sprinklers,sprinkler,,,,,,,Plot,0,10,10,0-10cm,0-10cm,,,1.351158333,1.351020333,72,16,SL,72,16,SL,7.7,7.7,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,14.7,12.6,,,14.7,12.6,-0.06694679,-14.28571429,,,1.741978759,0.965217391,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Acosta-Martinez et al.,2003,USA,Lubbock - cotton RT,33° 35? N,101° 51? W,,978,unknown,487,,16,semiarid,0.2136,Semi-Arid,4.7269,cotton,woody crops,no,,,RT,no,no,no,,yes,,,,,,,,,,,,Farm,0,5,5,0-10cm,0-10cm,,,1.384829,1.365927333,,,SL,,,SL,7.1,7.4,,,,,,,,,,,,,,,,,,,,,3,3,1.85,2.64,0.154432198,,,,,0.117460317,1.8744,,,,,1.280966825,1.80302408,0.148463645,40.75493954,,,0.151797075,0.138119857,,,,,,,,,,,,,,,,,,,,,,,3,3,0.19,0.19,,,,,0.010857143,0.011769912,,,,,0.131558755,0.129763097,,,0.016359638,0.00990558
5,Bordovsky et al.,1999,USA,Munday,33° 19? N,99° 34? W,,446,610,656,,17.6,semiarid,0.2991,Semi-Arid,3.3171,cereals,cereals,no,0,never,RT,no,no,no,yes,yes,no,no,10,overhead sprinklers,sprinkler,,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.352794,1.322414,,,SL,,,SL,7.8,7.8,,,,,,,,,,,,,,,,,,,,,4,4,6.5,10.2,0.195686815,,,,,0.412698413,7.242,,,,,13.1897415,20.2329342,0.185822585,53.39901999,,,1.563010172,1.549934918,0.70431927,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,de Bona et al.,2008,Brazil,Eldorado do Sul,30° 05? S,51° 40? W,40,25,1446,1416,,19.6,subtropical humid,1.0509,Humid,0.9435,mixed,cereals,yes,0,never,NT,no,no,legumes,,yes,,at establishment,8,overhead sprinklers,sprinkler,,,,,,,Plot,0,25,25,10-20cm,10-20cm,1.63,1.63,1.620027667,1.623302667,54.3,18.6,SCL,54.3,18.6,SCL,5.9,5.9,5,5,22.2,19.6,,,,,,,,,,,89.91153552,79.54183068,,,7.83896731,5.822813572,5,5,22.2,19.6,-0.054096903,,,,,1.40952381,13.916,,,,,89.91153552,79.54183068,-0.053219832,-11.53323073,,,10.65469286,6.093266533,-1.296213105,-0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,de Bona et al.,2008,Brazil,Eldorado do Sul,30° 05? S,51° 40? W,40,25,1446,1416,,19.6,subtropical humid,1.0509,Humid,0.9435,mixed,cereals,yes,0,never,NT,no,no,legumes,,yes,,at establishment,8,overhead sprinklers,sprinkler,,,,,,,Plot,25,50,25,30-40cm,30+cm,1.635714286,1.635714286,1.625529453,1.626006309,54.3,18.6,SCL,54.3,18.6,SCL,5.9,5.9,5,5,8.114285714,8.742857143,,,,,,,,,,,87.04990579,98.95142065,,,7.589475166,7.243681346,5,5,8.114285714,8.742857143,0.032403086,,,,,0.515192744,6.207428571,,,,,87.04990579,98.95142065,0.055653728,13.67205943,,,10.31558414,7.580129532,-0.623118564,0.078571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Denef et al.,2008,USA,"Otis, Colorado",40° 9? N,102° 57? W,1320,1317,375,397,10,9.7,semiarid,0.2273,Semi-Arid,4.384,Wheat-Corn-Soybean,cereals,yes,0,never,NT,no,no,,yes,,,,33.5,Drop sprinklers - Pivot,dippers,,,,,,,Farm,0,5,5,0-10cm,0-10cm,,,1.311384333,1.279329667,,,,,,,,,3,3,,,,,,,,,6.23,9.38,0.36,0.55,6.23,9.38,0.057784912,0.058635394,0.543164635,0.686657459,3,3,,,,,,,,,,6.14,8.98,0.36,0.55,6.14,8.98,0.165107966,46.25407166,0.058631922,0.061247216,0.727602012,0.687908903,0.084776119,,3,3,,,,,,,,,0.09,0.4,0.07,0.26,0.09,0.4,0.777777778,0.65,0.030382979,0.133461354,3,3,,,,,,,,,8.64,0.92,0.07,0.03,8.64,0.92,0.008101852,0.032608696,1.074404145,0.070229008
7,Denef et al.,2008,USA,"Otis, Colorado",40° 9? N,102° 57? W,1320,1317,375,397,10,9.7,semiarid,0.2273,Semi-Arid,4.384,Wheat-Corn-Soybean,cereals,yes,0,never,NT,no,no,,yes,,,,33.5,Drop sprinklers - Pivot,dippers,,,,,,,Farm,5,20,15,10-20cm,10-20cm,,,1.357737,1.323266333,,,,,,,,,3,3,,,,,,,,,17.18,21.72,1.32,1.59,17.18,21.72,0.076833527,0.07320442,1.497844049,1.59,3,3,,,,,,,,,,15.78,19.69,0.61,0.8,15.78,19.69,0.096138717,24.77820025,0.038656527,0.040629761,1.869960872,1.508343685,0.116716418,,3,3,,,,,,,,,1.4,2.03,1.51,1.44,1.4,2.03,1.078571429,0.709359606,0.472624113,0.677316371,3,3,,,,,,,,,1.68,2.22,0.24,0.12,1.68,2.22,0.142857143,0.054054054,0.208911917,0.169465649
7,Denef et al.,2008,USA,"Otis, Colorado",40° 9? N,102° 57? W,1320,1317,375,397,10,9.7,semiarid,0.2273,Semi-Arid,4.384,Wheat-Corn-Soybean,cereals,yes,0,never,NT,no,no,,yes,,,,33.5,Drop sprinklers - Pivot,dippers,,,,,,,Farm,20,50,30,30-40cm,30+cm,,,1.450061917,1.390340307,,,,,,,,,3,3,,,,,,,,,84.94038462,89.78,8.64,7.046923077,84.94038462,89.78,0.137748344,0.131614051,7.405555855,6.572292818,3,3,,,,,,,,,,40.54192308,47.48461538,3.295769231,2.815384615,40.54192308,47.48461538,0.068648579,17.1247237,0.117647059,0.076604555,4.804297201,3.637537825,0.000298507,,3,3,,,,,,,,,44.39423077,42.29538462,9.316923077,8.390384615,44.39423077,42.29538462,0.337588652,0.333653385,14.98698854,14.11199823,3,3,,,,,,,,,5.310769231,5.836538462,0.454615385,0.346538462,5.310769231,5.836538462,0.136363636,0.110714286,0.660406537,0.445537287
