ID,TopGroup,SubGroup,treatment,Mean_Perc,se,Low_Perc,High_Perc,col,obs,n_study
14,Coarse,0-10 cm,short,1.46809508340909,4.85616363622533,-3.38806855281624,6.32425871963443,#bf63bf,22,6
13,Coarse,10-20 cm,short,4.940572142,0,4.940572142,4.940572142,#bf63bf,5,1
12,Coarse,20-30 cm,short,-15.0432609935,5.39960451893038,-20.4428655124304,-9.64365647456962,#bf63bf,8,2
11,Coarse,30+ cm,short,-0.33243773125,7.01568073019231,-7.34811846144231,6.68324299894231,#bf63bf,4,2
9,Coarse,0-10 cm,medium,1.9802990544,3.01483372121192,-1.03453466681192,4.99513277561192,#bf63bf,10,3
8,Coarse,10-20 cm,medium,-13.55932203,0,-13.55932203,-13.55932203,#bf63bf,2,1
7,Coarse,20-30 cm,medium,2.5,0,2.5,2.5,#bf63bf,2,1
6,Coarse,30+ cm,medium,NA,0,NA,NA,#bf63bf,0,0
4,Coarse,0-10 cm,long,NA,0,NA,NA,#bf63bf,0,0
3,Coarse,10-20 cm,long,NA,0,NA,NA,#bf63bf,0,0
2,Coarse,20-30 cm,long,NA,0,NA,NA,#bf63bf,0,0
1,Coarse,30+ cm,long,NA,0,NA,NA,#bf63bf,0,0
14,Medium,0-10 cm,short,18.8084762602692,3.89356553147513,14.9149107287941,22.7020417917444,#bf63bf,26,7
13,Medium,10-20 cm,short,5.17870627757143,3.85644840836077,1.32225786921066,9.0351546859322,#bf63bf,14,4
12,Medium,20-30 cm,short,7.0339055864,6.51484158349386,0.519064002906139,13.5487471698939,#bf63bf,10,3
11,Medium,30+ cm,short,14.4139194154286,7.745536104494,6.66838331093458,22.1594555199226,#bf63bf,7,2
9,Medium,0-10 cm,medium,8.080808081,0,8.080808081,8.080808081,#bf63bf,6,1
8,Medium,10-20 cm,medium,NA,0,NA,NA,#bf63bf,0,0
7,Medium,20-30 cm,medium,-12.01923077,0,-12.01923077,-12.01923077,#bf63bf,6,1
6,Medium,30+ cm,medium,-1.550960118,0,-1.550960118,-1.550960118,#bf63bf,6,1
4,Medium,0-10 cm,long,NA,0,NA,NA,#bf63bf,0,0
3,Medium,10-20 cm,long,NA,0,NA,NA,#bf63bf,0,0
2,Medium,20-30 cm,long,NA,0,NA,NA,#bf63bf,0,0
1,Medium,30+ cm,long,NA,0,NA,NA,#bf63bf,0,0
14,Fine,0-10 cm,short,8.81617328932,1.84266693935428,6.97350634996572,10.6588402286743,#bf63bf,25,7
13,Fine,10-20 cm,short,-5.263157895,0,-5.263157895,-5.263157895,#bf63bf,3,1
12,Fine,20-30 cm,short,17.0412363987368,3.16957886258401,13.8716575361528,20.2108152613209,#bf63bf,19,5
11,Fine,30+ cm,short,-1.956357629,0.886530333256267,-2.84288796225627,-1.06982729574373,#bf63bf,10,3
9,Fine,0-10 cm,medium,0.584219994499999,7.43613163061873,-6.85191163611874,8.02035162511873,#bf63bf,24,7
8,Fine,10-20 cm,medium,-5.48629419207143,2.16747220981757,-7.653766401889,-3.31882198225386,#bf63bf,14,4
7,Fine,20-30 cm,medium,-9.46761469881818,2.29201016148773,-11.7596248603059,-7.17560453733045,#bf63bf,11,4
6,Fine,30+ cm,medium,-14.05167063,3.19273878713327,-17.2444094171333,-10.8589318428667,#bf63bf,10,3
4,Fine,0-10 cm,long,26.5596813227586,5.87026488648031,20.6894164362783,32.4299462092389,#bf63bf,29,2
3,Fine,10-20 cm,long,NA,0,NA,NA,#bf63bf,0,0
2,Fine,20-30 cm,long,0,0,0,0,#bf63bf,17,1
1,Fine,30+ cm,long,NA,0,NA,NA,#bf63bf,0,0
