ID,TopGroup,SubGroup,treatment,Mean_Perc,se,Low_Perc,High_Perc,col,obs,n_study
19,freshity,fresh,0 - 10 cm,10.9401553705,2.16742530472639,8.77273006577362,13.1075806752264,orange,146,34
18,freshity,waste,0 - 10 cm,74.6462204114286,11.4094007809625,63.236819630466,86.0556211923911,orange,7,3
17,freshity,sewage,0 - 10 cm,28.4190946214546,11.0194762526444,17.3996183688101,39.438570874099,orange,11,5
16,freshity,mixed,0 - 10 cm,-6.57870269666667,6.69227351778563,-13.2709762144523,0.113570821118965,orange,12,3
14,freshity,fresh,10 - 20 cm,-0.592407574684211,1.89622139004928,-2.48862896473349,1.30381381536507,orange,38,11
13,freshity,waste,10 - 20 cm,76.0180582,0,76.0180582,76.0180582,orange,3,1
12,freshity,sewage,10 - 20 cm,20.12195122,0,20.12195122,20.12195122,orange,4,1
11,freshity,mixed,10 - 20 cm,NA,0,NA,NA,orange,0,0
9,freshity,fresh,20 - 30 cm,1.4043467559589,1.93324239148064,-0.528895635521732,3.33758914743954,orange,73,17
8,freshity,waste,20 - 30 cm,54.609197425,6.24029094224014,48.3689064827599,60.8494883672401,orange,6,2
7,freshity,sewage,20 - 30 cm,21.65964004,0,21.65964004,21.65964004,orange,1,1
6,freshity,mixed,20 - 30 cm,-30.2993722,0,-30.2993722,-30.2993722,orange,4,1
4,freshity,fresh,30+ cm,2.155427872875,3.1856088888041,-1.0301810159291,5.3410367616791,orange,40,12
3,freshity,waste,30+ cm,52.641522535,0.225688303708525,52.4158342312915,52.8672108387085,orange,6,2
2,freshity,sewage,30+ cm,4.713594764,0,4.713594764,4.713594764,orange,1,1
1,freshity,mixed,30+ cm,-32.88031303,0,-32.88031303,-32.88031303,orange,4,1
